atr_bpn_id,NIK,asset_type,certificate_type,certificate_number,provinsi,kota,kecamatan,kelurahan,land_area_m2,building_area_m2,nilai_tanah_per_m2,nilai_bangunan_per_m2,nilai_tanah_total,nilai_bangunan_total,total_collateral_value,ownership_match
ATR000066,3671016406030066,Ruko,HGB,19773/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,330.4,236.8,21600000,4370000,7136640000,1034816000,8171456000,Ya
ATR000067,3271015503700067,Rumah,HGB,65110/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,387.3,452.7,28590000,5160000,11072907000,2335932000,13408839000,Ya
ATR000068,3674014302990068,Gudang,HGB,17901/Paledang,Jawa Barat,Bogor,Bogor Tengah,Paledang,113.2,79.3,7100000,3620000,803720000,287066000,1090786000,Ya
ATR000069,3671010311960069,Ruko,SHM,89759/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,155.2,196.2,10710000,3860000,1662192000,757332000,2419524000,Ya
ATR000070,3173016202970070,Tanah,SHM,18875/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,202.7,0.0,8320000,3440000,1686464000,0,1686464000,Ya
ATR000071,3671015802680071,Tanah,HGB,52416/Poris Plawad,Banten,Tangerang,Cipondoh,Poris Plawad,64.9,0.0,6640000,2940000,430936000,0,430936000,Ya
ATR000072,3674016506800072,Tanah,HGB,51948/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,350.9,0.0,47750000,5950000,16755475000,0,16755475000,Ya
ATR000073,3275015104790073,Gudang,SHM,42587/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,227.1,199.6,10820000,3920000,2457222000,782432000,3239654000,Ya
ATR000074,3172010107850074,Ruko,HGB,59390/Kelapa Gading Barat,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,269.4,271.6,21590000,5000000,5816346000,1358000000,7174346000,Ya
ATR000075,3674015703790075,Ruko,SHM,80841/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,231.1,273.9,12570000,3600000,2904927000,986040000,3890967000,Ya
ATR000076,3275010902990076,Tanah,HGB,91745/Poris Plawad,Banten,Tangerang,Cipondoh,Poris Plawad,278.4,0.0,6430000,3490000,1790112000,0,1790112000,Tidak
ATR000077,3276015512750077,Tanah,HGB,69253/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,255.7,0.0,8700000,3960000,2224590000,0,2224590000,Ya
ATR000078,3171014809850078,Rumah,HGB,54203/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,245.5,307.7,43460000,6830000,10669430000,2101591000,12771021000,Ya
ATR000079,3671013008930079,Ruko,SHM,62747/Paledang,Jawa Barat,Bogor,Bogor Tengah,Paledang,126.6,70.3,6160000,2910000,779856000,204573000,984429000,Ya
ATR000080,3271011405960080,Rumah,SHM,93864/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,292.2,162.7,11350000,4410000,3316470000,717507000,4033977000,Ya
ATR000081,3671016910740081,Ruko,HGB,98766/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,336.9,244.4,10630000,4240000,3581247000,1036256000,4617503000,Ya
ATR000082,3172015405810082,Rumah,HGB,24431/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,358.3,389.9,43640000,5610000,15636212000,2187339000,17823551000,Ya
ATR000083,3674014603010083,Ruko,HGB,31063/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,315.2,361.1,13770000,3900000,4340304000,1408290000,5748594000,Ya
ATR000084,3175016601890084,Gudang,HGB,86022/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,324.0,250.3,13550000,4430000,4390200000,1108829000,5499029000,Ya
ATR000085,3671011405920085,Gudang,HGB,73098/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,315.3,348.0,7490000,4030000,2361597000,1402440000,3764037000,Ya
ATR000086,3674011803700086,Ruko,SHM,38259/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,341.0,257.8,11190000,3670000,3815790000,946126000,4761916000,Ya
ATR000087,3671012605020087,Tanah,HGB,95387/Paledang,Jawa Barat,Bogor,Bogor Tengah,Paledang,367.8,0.0,6140000,3220000,2258292000,0,2258292000,Tidak
ATR000088,3175010406890088,Rumah,HGB,34303/Cengkareng Barat,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,383.2,367.4,16629999,4139999,6372616000,1521036000,7893652000,Ya
ATR000089,3171012004000089,Rumah,SHM,26102/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,171.7,178.2,10760000,4130000,1847492000,735966000,2583458000,Ya
ATR000090,3172013003760090,Tanah,HGB,21832/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,91.0,0.0,39930000,5200000,3633630000,0,3633630000,Ya
ATR000091,3171011004980091,Gudang,SHM,28284/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,210.1,254.3,17190000,3980000,3611619000,1012114000,4623733000,Ya
ATR000092,3671015608970092,Ruko,SHM,61348/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,318.9,317.2,10560000,3500000,3367584000,1110200000,4477784000,Ya
ATR000093,3174015406790093,Rumah,HGB,22424/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,84.7,98.0,19110000,3930000,1618617000,385140000,2003757000,Ya
ATR000094,3275017007000094,Rumah,HGB,58241/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,395.5,316.2,11530000,4380000,4560115000,1384956000,5945071000,Tidak
ATR000095,3674016309970095,Tanah,SHM,51719/Cengkareng Barat,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,395.2,0.0,17220000,4040000,6805344000,0,6805344000,Ya
ATR000096,3173010205690096,Ruko,SHM,21211/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,324.2,306.9,8800000,4040000,2852960000,1239876000,4092836000,Ya
ATR000097,3275016611770097,Ruko,SHM,40440/Cengkareng Barat,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,227.5,115.8,15850000,3640000,3605875000,421512000,4027387000,Ya
ATR000098,3271012602700098,Rumah,SHM,36610/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,100.0,101.9,9660000,3900000,966000000,397410000,1363410000,Tidak
ATR000099,3671013003800099,Rumah,HGB,72238/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,187.5,136.6,19990000,4130000,3748125000,564158000,4312283000,Tidak
ATR000100,3173010111830100,Rumah,HGB,90264/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,64.1,81.8,10360000,4470000,664076000,365646000,1029722000,Ya
ATR000101,3671012703950101,Rumah,HGB,85965/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,397.6,222.3,28450000,6270000,11311720000,1393821000,12705541000,Ya
ATR000102,3671016606800102,Gudang,HGB,68068/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,274.0,289.5,8880000,3740000,2433120000,1082730000,3515850000,Ya
ATR000103,3671010605650103,Rumah,HGB,95753/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,366.4,196.5,51390000,7380000,18829296000,1450170000,20279466000,Ya
ATR000104,3171016101820104,Tanah,SHM,58062/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,214.9,0.0,41440000,5600000,8905456000,0,8905456000,Ya
ATR000105,3175017010900105,Rumah,SHM,80765/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,217.7,170.4,46130000,5240000,10042501000,892896000,10935397000,Tidak
ATR000106,3271015412680106,Gudang,HGB,60585/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,395.3,418.4,10110000,3580000,3996483000,1497872000,5494355000,Ya
ATR000107,3175015412990107,Gudang,SHM,49066/Kelapa Gading Barat,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,292.8,184.5,28080000,5700000,8221824000,1051650000,9273474000,Tidak
ATR000108,3276011310720108,Rumah,SHM,37643/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,306.7,303.9,8289999,4070000,2542543000,1236873000,3779416000,Ya
ATR000109,3276016309840109,Ruko,HGB,81352/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,75.4,39.3,26960000,6010000,2032784000,236193000,2268977000,Tidak
ATR000110,3275012207670110,Tanah,HGB,61781/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,111.1,0.0,8740000,3470000,971014000,0,971014000,Tidak
ATR000111,3671014406790111,Gudang,SHM,61502/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,346.3,405.4,8420000,3510000,2915846000,1422954000,4338800000,Ya
ATR000112,3671011709840112,Tanah,SHM,41992/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,79.2,0.0,13310000,4380000,1054152000,0,1054152000,Tidak
ATR000113,3172014706950113,Ruko,HGB,60783/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,398.9,376.7,30260000,6230000,12070714000,2346841000,14417555000,Ya
ATR000114,3671015410700114,Tanah,SHM,61659/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,144.1,0.0,44330000,5330000,6387953000,0,6387953000,Tidak
ATR000115,3175014911780115,Rumah,SHM,40882/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,266.1,181.7,42060000,6210000,11192166000,1128357000,12320523000,Ya
ATR000116,3671015109940116,Ruko,HGB,50841/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,98.6,102.3,12070000,4330000,1190102000,442959000,1633061000,Ya
ATR000117,3276014412840117,Rumah,HGB,97489/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,349.7,329.3,45820000,6680000,16023254000,2199724000,18222978000,Ya
ATR000118,3674014807990118,Rumah,SHM,92796/Paledang,Jawa Barat,Bogor,Bogor Tengah,Paledang,105.6,55.2,7540000,3520000,796224000,194304000,990528000,Ya
ATR000119,3271015611890119,Rumah,SHM,43308/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,132.4,80.6,25630000,5250000,3393412000,423150000,3816562000,Ya
ATR000120,3171012008010120,Ruko,SHM,39981/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,193.4,164.4,24670000,4770000,4771178000,784188000,5555366000,Ya
ATR000121,3174015904790121,Tanah,SHM,60880/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,326.4,0.0,53290000,6740000,17393856000,0,17393856000,Ya
ATR000122,3174014811650122,Tanah,HGB,66561/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,382.8,0.0,8940000,4290000,3422232000,0,3422232000,Ya
ATR000123,3173017008930123,Gudang,SHM,78702/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,147.8,128.2,20590000,4490000,3043202000,575618000,3618820000,Ya
ATR000124,3172012910800124,Rumah,HGB,50111/Cengkareng Barat,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,275.4,190.6,13960000,3730000,3844584000,710938000,4555522000,Ya
ATR000125,3173017009810125,Rumah,SHM,79916/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,111.6,68.2,31270000,4980000,3489732000,339636000,3829368000,Ya
ATR000126,3271016906010126,Rumah,HGB,29957/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,364.9,320.8,28360000,4780000,10348564000,1533424000,11881988000,Ya
ATR000127,3171011811660127,Ruko,HGB,19955/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,73.9,46.9,16800000,4059999,1241520000,190414000,1431934000,Ya
ATR000128,3175014404770128,Ruko,HGB,79081/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,101.0,87.7,50150000,6240000,5065150000,547248000,5612398000,Ya
ATR000129,3275015308970129,Tanah,HGB,64338/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,294.7,0.0,8620000,4139999,2540314000,0,2540314000,Ya
ATR000130,3674015301920130,Ruko,SHM,33941/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,87.8,105.3,50680000,5210000,4449704000,548613000,4998317000,Ya
ATR000131,3173015904810131,Ruko,HGB,64898/Margahayu,Jawa Barat,Bekasi,Bekasi Timur,Margahayu,334.1,367.0,7240000,3290000,2418884000,1207430000,3626314000,Ya
ATR000132,3671016202920132,Tanah,SHM,67959/Poris Plawad,Banten,Tangerang,Cipondoh,Poris Plawad,224.7,0.0,7770000,3270000,1745919000,0,1745919000,Ya
ATR000133,3671015303760133,Ruko,HGB,36116/Cengkareng Barat,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,314.1,166.3,14810000,4470000,4651821000,743361000,5395182000,Ya
ATR000134,3172016310770134,Ruko,SHM,59772/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,234.0,216.6,10590000,3940000,2478060000,853404000,3331464000,Ya
ATR000135,3271013010960135,Gudang,HGB,19514/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,142.4,101.9,38530000,5140000,5486672000,523766000,6010438000,Ya
ATR000136,3171015307000136,Rumah,HGB,81524/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,131.9,100.5,24810000,6140000,3272439000,617070000,3889509000,Ya
ATR000137,3674013107880137,Rumah,HGB,38947/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,290.9,329.1,9000000,3150000,2618100000,1036665000,3654765000,Ya
ATR000138,3671014410700138,Gudang,HGB,55763/Cikini,DKI Jakarta,Jakarta Pusat,Cikini,Cikini,259.5,284.5,39180000,5330000,10167210000,1516385000,11683595000,Ya
ATR000139,3276015007800139,Ruko,HGB,30037/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,183.4,186.5,45960000,5740000,8429064000,1070510000,9499574000,Tidak
ATR000140,3172011801910140,Ruko,SHM,55422/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,266.0,183.5,10570000,3580000,2811620000,656930000,3468550000,Ya
ATR000141,3275010505870141,Ruko,SHM,70413/Cengkareng Barat,DKI Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,114.6,74.4,14970000,3790000,1715562000,281976000,1997538000,Ya
