slik_record_id,NIK,inquiry_date,bank_name,loan_type,plafond,outstanding_balance,installment_amount,tenor_month,collectability,collectability_label
SLK000072,3172015801940050,2025-02-02,Bank Permata,KK,25000000,19462130,2174791,12,4,Diragukan
SLK000073,3671011808920051,2025-09-22,BPR Mitra Usaha,KI,200000000,91240339,17304840,12,1,Lancar
SLK000074,3173016507900052,2024-08-29,Bank Panin,KPR,200000000,56776891,9572934,24,3,Kurang Lancar
SLK000075,3674016707000054,2025-07-14,Bank Danamon,KPR,25000000,16081000,1177285,24,1,Lancar
SLK000076,3674015806980055,2026-01-26,Bank BRI,KMK,300000000,185033296,9212641,36,1,Lancar
SLK000077,3674015806980055,2024-03-16,Bank Mandiri,KMK,75000000,70642867,1305319,60,1,Lancar
SLK000078,3674015806980055,2025-10-11,Bank Danamon,KPR,25000000,9754058,2198595,12,2,Dalam Perhatian Khusus (DPK)
SLK000079,3671014508730056,2024-11-06,Bank CIMB Niaga,KK,500000000,168091565,23528543,24,1,Lancar
SLK000080,3671014508730056,2026-05-19,Bank CIMB Niaga,KKB,100000000,36473340,2364749,48,1,Lancar
SLK000081,3671014508730056,2025-08-31,Bank BRI,KMK,100000000,24998884,1892663,60,1,Lancar
SLK000082,3275010510960057,2025-04-02,Bank CIMB Niaga,KMK,100000000,53281953,4529567,24,1,Lancar
SLK000083,3671012101860058,2025-01-10,Bank BCA,KK,500000000,344971734,47262726,12,2,Dalam Perhatian Khusus (DPK)
SLK000084,3671016210710059,2026-05-26,Bank OCBC NISP,KMK,150000000,65466328,3262467,48,1,Lancar
SLK000085,3674015309780060,2024-07-12,Bank BRI,KI,75000000,28789857,6807440,12,2,Dalam Perhatian Khusus (DPK)
SLK000086,3171011302650061,2024-04-15,Bank OCBC NISP,KKB,500000000,430839235,9454686,60,1,Lancar
SLK000087,3171011302650061,2024-12-02,BPR Mitra Usaha,KK,500000000,255250394,8736641,60,1,Lancar
SLK000088,3175014405000062,2024-02-25,Bank BRI,KPR,300000000,262295015,5643473,60,1,Lancar
SLK000089,3671011309840063,2026-03-07,Bank CIMB Niaga,KK,100000000,56318979,2352953,48,2,Dalam Perhatian Khusus (DPK)
SLK000090,3671011309840063,2026-08-18,Bank Panin,KI,100000000,40399049,4541674,24,1,Lancar
SLK000091,3173015312970064,2025-08-10,Bank BCA,KMK,200000000,168741958,9040090,24,3,Kurang Lancar
SLK000092,3173015312970064,2024-08-01,Bank BRI,KMK,100000000,66990974,4726866,24,1,Lancar
SLK000093,3173015204880065,2025-12-08,Bank CIMB Niaga,KMK,100000000,50384455,4272722,24,1,Lancar
SLK000094,3173015204880065,2026-01-10,Bank Mandiri,KI,75000000,21200601,2138169,36,1,Lancar
SLK000095,3671016406030066,2025-10-17,Bank OCBC NISP,KI,300000000,246615049,8924818,36,2,Dalam Perhatian Khusus (DPK)
SLK000096,3671016406030066,2025-06-04,Bank BCA,KMK,300000000,103367289,5284622,60,1,Lancar
SLK000097,3271015503700067,2024-06-02,BPR Mitra Usaha,KKB,500000000,472939414,22832618,24,1,Lancar
SLK000098,3271015503700067,2024-06-25,BPR Mitra Usaha,KPR,200000000,177131318,17841311,12,1,Lancar
SLK000099,3271015503700067,2026-04-17,Bank OCBC NISP,KPR,75000000,30125867,2386754,36,1,Lancar
SLK000100,3674014302990068,2024-12-31,Bank BCA,KI,500000000,215235116,23926068,24,1,Lancar
SLK000101,3674014302990068,2025-03-17,Bank BNI,KKB,25000000,21772273,1169893,24,1,Lancar
SLK000102,3671010311960069,2024-02-27,Bank Mandiri,KKB,500000000,232962932,47459048,12,2,Dalam Perhatian Khusus (DPK)
SLK000103,3671010311960069,2026-02-19,BPR Mitra Usaha,KKB,200000000,62927545,9079451,24,1,Lancar
SLK000104,3671010311960069,2026-02-27,Bank BNI,KI,50000000,14701708,912106,60,1,Lancar
SLK000105,3173016202970070,2025-12-19,Bank Mandiri,KI,150000000,36972191,6458564,24,1,Lancar
SLK000106,3671015802680071,2024-06-11,Bank Danamon,KMK,500000000,402214617,21920936,24,2,Dalam Perhatian Khusus (DPK)
SLK000107,3674016506800072,2025-04-23,Bank Permata,KKB,200000000,122641629,5962666,36,1,Lancar
SLK000108,3674016506800072,2025-03-23,Bank Panin,KK,500000000,301453067,11670270,48,1,Lancar
SLK000109,3674016506800072,2025-09-17,Bank BRI,KMK,500000000,385557132,8527110,60,1,Lancar
SLK000110,3275015104790073,2026-07-16,Bank BRI,KKB,200000000,125234172,3823739,60,1,Lancar
SLK000111,3275015104790073,2024-10-19,Bank Permata,KI,200000000,187231208,3609966,60,1,Lancar
SLK000112,3275015104790073,2024-04-11,Bank BNI,KI,150000000,127702350,6708052,24,1,Lancar
SLK000113,3172010107850074,2024-11-06,Bank Danamon,KK,25000000,9971543,2254918,12,2,Dalam Perhatian Khusus (DPK)
SLK000114,3172010107850074,2026-06-30,Bank Danamon,KK,50000000,46336304,945286,60,1,Lancar
SLK000115,3172010107850074,2024-06-30,BPR Mitra Usaha,KPR,75000000,36687075,1744026,48,1,Lancar
SLK000116,3275010902990076,2025-02-11,Bank Danamon,KKB,75000000,40566068,1721630,48,1,Lancar
SLK000117,3275010902990076,2024-06-12,Bank BCA,KK,75000000,45423351,1322114,60,1,Lancar
SLK000118,3275010902990076,2024-06-24,BPR Mitra Usaha,KPR,300000000,264674618,26114929,12,1,Lancar
SLK000119,3276015512750077,2026-05-15,BPR Mitra Usaha,KMK,100000000,25338259,1708210,60,1,Lancar
SLK000120,3276015512750077,2025-08-20,BPR Mitra Usaha,KPR,500000000,351995451,10757740,48,1,Lancar
SLK000121,3671013008930079,2026-06-14,Bank CIMB Niaga,KMK,150000000,79869673,3306769,48,2,Dalam Perhatian Khusus (DPK)
SLK000122,3671013008930079,2026-02-07,Bank CIMB Niaga,KKB,500000000,295785713,11741667,48,2,Dalam Perhatian Khusus (DPK)
SLK000123,3671013008930079,2025-01-08,Bank BNI,KKB,150000000,61345687,3273410,48,1,Lancar
SLK000124,3271011405960080,2025-03-13,Bank BNI,KKB,200000000,134527835,3803648,60,1,Lancar
SLK000125,3671016910740081,2026-02-18,Bank Panin,KI,300000000,156232763,5561370,60,1,Lancar
SLK000126,3671016910740081,2024-12-23,Bank Permata,KPR,300000000,231046265,9111436,36,3,Kurang Lancar
SLK000127,3172015405810082,2026-02-27,Bank Panin,KPR,500000000,186390558,9364685,60,2,Dalam Perhatian Khusus (DPK)
SLK000128,3172015405810082,2025-07-10,Bank Permata,KPR,150000000,65499090,4571671,36,1,Lancar
SLK000129,3674014603010083,2025-05-24,Bank Permata,KKB,75000000,54551543,1306872,60,1,Lancar
SLK000130,3674014603010083,2025-08-20,Bank Danamon,KPR,200000000,136864742,3696162,60,1,Lancar
SLK000131,3175016601890084,2025-11-24,Bank OCBC NISP,KKB,75000000,36969808,1295025,60,1,Lancar
SLK000132,3175016601890084,2026-01-10,Bank Mandiri,KPR,50000000,18728960,2325708,24,1,Lancar
SLK000133,3671011405920085,2024-04-30,Bank Panin,KKB,300000000,103702409,5262717,60,1,Lancar
SLK000134,3671011405920085,2026-06-01,Bank Danamon,KMK,300000000,234198500,9390923,36,1,Lancar
SLK000135,3671012605020087,2025-02-09,Bank OCBC NISP,KK,25000000,20353116,2201252,12,1,Lancar
SLK000136,3671012605020087,2026-01-17,BPR Mitra Usaha,KKB,300000000,154463726,13460712,24,1,Lancar
SLK000137,3175010406890088,2026-08-03,Bank CIMB Niaga,KPR,300000000,123210923,5148136,60,1,Lancar
SLK000138,3175010406890088,2024-03-09,Bank BCA,KPR,500000000,128304217,11352707,48,1,Lancar
SLK000139,3175010406890088,2025-08-22,Bank Mandiri,KPR,150000000,133416102,3243244,48,1,Lancar
SLK000140,3172013003760090,2025-09-23,Bank BRI,KPR,500000000,110973290,22475611,24,1,Lancar
SLK000141,3174015406790093,2025-02-26,Bank Panin,KKB,300000000,125454031,13733129,24,1,Lancar
SLK000142,3674016309970095,2024-01-03,Bank CIMB Niaga,KI,500000000,221393580,45278635,12,2,Dalam Perhatian Khusus (DPK)
SLK000143,3674016309970095,2025-03-10,Bank CIMB Niaga,KKB,300000000,189663133,6590863,48,4,Diragukan
SLK000144,3173010205690096,2025-09-17,Bank OCBC NISP,KK,200000000,77478416,5758427,36,1,Lancar
SLK000145,3275016611770097,2024-12-31,Bank Mandiri,KK,50000000,44746709,1587021,36,2,Dalam Perhatian Khusus (DPK)
SLK000146,3275016611770097,2024-02-18,Bank CIMB Niaga,KKB,150000000,107353024,3285451,48,1,Lancar
SLK000147,3271012602700098,2025-02-21,Bank Mandiri,KKB,500000000,229394075,11976822,48,1,Lancar
SLK000148,3271012602700098,2024-08-13,Bank Panin,KI,200000000,134358953,3581345,60,1,Lancar
SLK000149,3271012602700098,2025-05-31,Bank Danamon,KMK,100000000,78793428,1889022,60,1,Lancar
SLK000150,3173010111830100,2026-01-03,Bank CIMB Niaga,KMK,100000000,49129488,2270288,48,1,Lancar
SLK000151,3173010111830100,2025-03-03,Bank BRI,KKB,75000000,20837733,6503691,12,1,Lancar
SLK000152,3671012703950101,2024-12-04,Bank Mandiri,KI,25000000,12712300,438563,60,3,Kurang Lancar
SLK000153,3671012703950101,2024-01-29,BPR Mitra Usaha,KI,25000000,8909271,1182703,24,1,Lancar
SLK000154,3671012703950101,2024-07-03,Bank Danamon,KI,100000000,35392544,9302865,12,1,Lancar
SLK000155,3671016606800102,2024-04-22,Bank BRI,KI,300000000,174932073,6993151,48,1,Lancar
SLK000156,3671010605650103,2025-07-28,Bank Mandiri,KI,150000000,129968455,13698008,12,1,Lancar
SLK000157,3671010605650103,2025-08-17,Bank CIMB Niaga,KPR,100000000,37810168,9321497,12,1,Lancar
SLK000158,3171016101820104,2025-12-17,Bank Permata,KI,100000000,79732673,4386001,24,1,Lancar
SLK000159,3175017010900105,2026-07-08,Bank OCBC NISP,KKB,150000000,133586331,4652345,36,1,Lancar
SLK000160,3175017010900105,2024-09-06,Bank Danamon,KMK,75000000,46803940,7153303,12,2,Dalam Perhatian Khusus (DPK)
SLK000161,3271015412680106,2026-06-27,Bank CIMB Niaga,KK,100000000,93828598,2141884,48,1,Lancar
SLK000162,3271015412680106,2025-04-20,Bank CIMB Niaga,KK,500000000,291819834,15313375,36,3,Kurang Lancar
SLK000163,3175015412990107,2026-05-23,Bank OCBC NISP,KMK,500000000,412023286,47508507,12,1,Lancar
SLK000164,3175015412990107,2024-11-18,Bank BCA,KI,100000000,86089192,4604463,24,1,Lancar
SLK000165,3276011310720108,2025-11-20,BPR Mitra Usaha,KPR,25000000,12613323,712059,36,3,Kurang Lancar
SLK000166,3276016309840109,2024-10-09,Bank Danamon,KK,75000000,28001111,6758372,12,3,Kurang Lancar
SLK000167,3276016309840109,2025-09-04,Bank BNI,KK,75000000,69747396,2312826,36,1,Lancar
SLK000168,3275012207670110,2024-11-16,Bank BNI,KI,75000000,47771302,3368445,24,1,Lancar
SLK000169,3671014406790111,2024-12-05,Bank Panin,KPR,300000000,201813908,6443241,48,3,Kurang Lancar
SLK000170,3671011709840112,2025-08-07,BPR Mitra Usaha,KK,50000000,11192707,1572962,36,1,Lancar
SLK000171,3175014911780115,2025-11-29,BPR Mitra Usaha,KMK,150000000,56971219,7026595,24,2,Dalam Perhatian Khusus (DPK)
SLK000172,3671015109940116,2025-03-19,BPR Mitra Usaha,KPR,25000000,7638271,2226721,12,1,Lancar
SLK000173,3671015109940116,2024-08-16,Bank Danamon,KK,150000000,99122396,6799927,24,1,Lancar
SLK000174,3276014412840117,2025-12-30,Bank Danamon,KI,500000000,163389068,46128767,12,1,Lancar
SLK000175,3674014807990118,2024-05-16,Bank Panin,KKB,500000000,447862644,22752290,24,1,Lancar
SLK000176,3271015611890119,2025-10-29,Bank Danamon,KMK,300000000,137116593,8582696,36,1,Lancar
SLK000177,3171012008010120,2024-05-12,Bank Mandiri,KK,500000000,284225360,11382062,48,1,Lancar
SLK000178,3174014811650122,2025-12-10,Bank Mandiri,KMK,300000000,150085652,9107217,36,3,Kurang Lancar
SLK000179,3173017008930123,2025-07-15,Bank BCA,KKB,50000000,14800602,1138081,48,1,Lancar
SLK000180,3173017008930123,2025-11-14,Bank CIMB Niaga,KK,200000000,151635288,6005347,36,1,Lancar
SLK000181,3173017008930123,2025-04-13,Bank BNI,KMK,150000000,123058505,2830837,60,1,Lancar
SLK000182,3172012910800124,2024-05-05,Bank BCA,KPR,150000000,94017739,4528157,36,1,Lancar
SLK000183,3173017009810125,2026-07-04,BPR Mitra Usaha,KKB,25000000,17040863,1125915,24,2,Dalam Perhatian Khusus (DPK)
SLK000184,3271016906010126,2024-09-01,Bank BNI,KKB,300000000,172077116,12797113,24,2,Dalam Perhatian Khusus (DPK)
SLK000185,3275015308970129,2026-05-21,Bank Mandiri,KK,50000000,45015407,2317472,24,5,Macet
SLK000186,3674015301920130,2025-07-09,BPR Mitra Usaha,KMK,25000000,6526433,2317330,12,2,Dalam Perhatian Khusus (DPK)
SLK000187,3674015301920130,2026-08-09,Bank Mandiri,KPR,50000000,24007078,926351,60,2,Dalam Perhatian Khusus (DPK)
SLK000188,3173015904810131,2025-11-16,Bank Mandiri,KPR,50000000,37857927,4618633,12,1,Lancar
SLK000189,3173015904810131,2025-11-19,Bank Danamon,KK,25000000,13083246,443062,60,1,Lancar
SLK000190,3173015904810131,2026-02-08,Bank Permata,KMK,500000000,375197451,21590477,24,1,Lancar
SLK000191,3671016202920132,2025-09-25,Bank OCBC NISP,KPR,75000000,26023803,3344699,24,1,Lancar
SLK000192,3671016202920132,2024-03-04,Bank Mandiri,KPR,300000000,84424955,13910766,24,1,Lancar
SLK000193,3671015303760133,2025-09-23,Bank OCBC NISP,KPR,300000000,186585335,26071538,12,2,Dalam Perhatian Khusus (DPK)
SLK000194,3172016310770134,2026-03-06,Bank Panin,KI,25000000,8942802,466647,60,1,Lancar
SLK000195,3171015307000136,2024-09-25,Bank CIMB Niaga,KPR,100000000,41293804,1870081,60,3,Kurang Lancar
SLK000196,3674013107880137,2025-09-06,Bank CIMB Niaga,KI,150000000,52749197,3194444,48,1,Lancar
SLK000197,3674013107880137,2024-04-01,Bank Mandiri,KPR,150000000,84924677,2749980,60,5,Macet
SLK000198,3671014410700138,2024-06-15,Bank Mandiri,KK,25000000,6659732,475604,60,1,Lancar
SLK000199,3276015007800139,2026-07-15,Bank CIMB Niaga,KMK,50000000,29744335,2151436,24,1,Lancar
SLK000200,3276015007800139,2026-06-16,Bank Panin,KI,50000000,41307465,1189640,48,5,Macet
SLK000201,3276015007800139,2025-07-12,Bank Permata,KPR,300000000,164593843,6413763,48,1,Lancar
SLK000202,3172011801910140,2024-10-04,BPR Mitra Usaha,KMK,150000000,91346610,4534422,36,1,Lancar
SLK000203,3275010505870141,2026-05-03,Bank OCBC NISP,KK,500000000,138828839,23854727,24,5,Macet
SLK000204,3674010111850142,2025-03-29,Bank BRI,KPR,500000000,106504722,8950593,60,2,Dalam Perhatian Khusus (DPK)
SLK000205,3674010111850142,2024-12-02,Bank Mandiri,KPR,25000000,22899075,468767,60,1,Lancar
SLK000206,3275013112760143,2024-11-14,Bank BCA,KPR,300000000,94178861,9060099,36,1,Lancar
SLK000207,3275013112760143,2026-06-27,Bank BCA,KK,25000000,16449101,1153328,24,1,Lancar
SLK000208,3271010807730144,2024-02-19,BPR Mitra Usaha,KI,50000000,34065139,940161,60,1,Lancar
SLK000209,3271010807730144,2025-04-13,Bank Danamon,KKB,50000000,45117879,4411393,12,1,Lancar
SLK000210,3271010807730144,2026-02-16,Bank OCBC NISP,KMK,200000000,150753190,5962325,36,1,Lancar
SLK000211,3171014303910145,2026-05-06,Bank OCBC NISP,KK,75000000,57317492,7009406,12,1,Lancar
SLK000212,3171014303910145,2025-01-23,Bank Mandiri,KKB,50000000,34396554,4772040,12,4,Diragukan
SLK000213,3171014303910145,2024-04-04,Bank Permata,KK,300000000,144434730,8986567,36,1,Lancar
SLK000214,3271010804990146,2024-10-09,Bank BCA,KI,25000000,12532053,2395260,12,1,Lancar
SLK000215,3271010804990146,2026-02-17,Bank Danamon,KMK,200000000,98875647,18498003,12,1,Lancar
SLK000216,3271010801020147,2024-06-24,Bank Panin,KPR,150000000,37331849,2753286,60,1,Lancar
SLK000217,3271010801020147,2026-03-18,Bank Panin,KI,25000000,10970588,546709,48,1,Lancar
SLK000218,3275011301670148,2025-01-23,BPR Mitra Usaha,KPR,150000000,91592448,6727900,24,1,Lancar
SLK000219,3275011301670148,2026-03-06,Bank Danamon,KK,500000000,472521204,14459673,36,1,Lancar
SLK000220,3276015808820149,2026-04-29,Bank Danamon,KK,25000000,18851525,2188144,12,2,Dalam Perhatian Khusus (DPK)
SLK000221,3271016403950150,2024-06-12,Bank OCBC NISP,KKB,300000000,210527480,12832227,24,3,Kurang Lancar
SLK000222,3271016403950150,2026-01-24,Bank Mandiri,KKB,50000000,46788948,1149747,48,1,Lancar
SLK000223,3172012003930151,2025-08-20,BPR Mitra Usaha,KI,300000000,135533937,28546101,12,1,Lancar
SLK000224,3172012003930151,2026-06-26,Bank BRI,KKB,25000000,13739647,1175537,24,1,Lancar
SLK000225,3172012003930151,2025-09-05,Bank BCA,KPR,25000000,13097241,429149,60,1,Lancar
SLK000226,3276017005830152,2025-02-01,BPR Mitra Usaha,KPR,300000000,94226190,13919724,24,2,Dalam Perhatian Khusus (DPK)
SLK000227,3271014407890153,2025-09-04,Bank Mandiri,KKB,500000000,465315440,15290079,36,1,Lancar
SLK000228,3276011812950154,2026-06-26,Bank Mandiri,KK,150000000,45502836,13097887,12,1,Lancar
SLK000229,3175016111660155,2025-10-22,Bank BRI,KKB,300000000,259606949,6485813,48,1,Lancar
SLK000230,3271012802710156,2025-03-10,Bank BCA,KMK,200000000,79704756,3401744,60,1,Lancar
SLK000231,3271012802710156,2024-01-12,Bank BRI,KI,150000000,83274806,2563168,60,1,Lancar
SLK000232,3671010607690157,2024-12-28,Bank BCA,KI,150000000,134174047,3268956,48,3,Kurang Lancar
SLK000233,3671010607690157,2024-01-28,BPR Mitra Usaha,KPR,100000000,89183726,9520306,12,1,Lancar
SLK000234,3671016606990158,2025-01-09,BPR Mitra Usaha,KKB,100000000,22443378,1836909,60,1,Lancar
SLK000235,3276010708980159,2025-08-20,Bank BCA,KPR,500000000,403219813,11203897,48,1,Lancar
SLK000236,3671016903770160,2026-03-10,Bank OCBC NISP,KI,150000000,84883519,4587365,36,1,Lancar
SLK000237,3671016903770160,2025-12-21,Bank CIMB Niaga,KK,75000000,59683109,1644647,48,2,Dalam Perhatian Khusus (DPK)
SLK000238,3671015511720161,2024-09-24,Bank BNI,KK,500000000,299530214,42770312,12,1,Lancar
SLK000239,3171015406860164,2024-12-20,Bank Permata,KI,300000000,150132605,25923686,12,1,Lancar
SLK000240,3671012807880165,2024-07-28,Bank OCBC NISP,KPR,25000000,9047494,429974,60,1,Lancar
SLK000241,3671012807880165,2025-08-03,Bank Panin,KPR,75000000,49393175,1769346,48,1,Lancar
SLK000242,3671012003700166,2025-08-29,Bank BCA,KI,75000000,64516746,1392765,60,1,Lancar
SLK000243,3671012003700166,2026-01-19,Bank Panin,KKB,25000000,11851147,711492,36,1,Lancar
SLK000244,3671011104890168,2026-06-30,Bank Panin,KKB,200000000,127064387,4699219,48,1,Lancar
SLK000245,3671011104890168,2026-06-10,Bank Mandiri,KMK,50000000,27543036,952844,60,1,Lancar
SLK000246,3671011104890168,2025-07-28,Bank Panin,KMK,75000000,46849021,3387710,24,1,Lancar
SLK000247,3674014711810169,2025-10-06,Bank BCA,KMK,300000000,167340018,26116354,12,1,Lancar
SLK000248,3174012105780170,2026-01-08,Bank BNI,KI,100000000,32716849,8908456,12,3,Kurang Lancar
