application_id,NIK,cif_number,application_date,customer_type,company_name,legal_entity,owner_name,owner_gender,owner_age,owner_marital_status,owner_education,province,city,district,region,branch_name,industry,sub_industry,business_age_year,employee_count,monthly_turnover_est,transaction_frequency_monthly,loan_requested,jenis_kredit_diajukan,tenor_diajukan_bulan,tujuan_penggunaan_kredit,collateral_type,collateral_location,collateral_province,collateral_city,collateral_size_m2,collateral_market_value,collateral_liquidation_value,collateral_ratio,certificate_type,ownership_match,estimated_dsr,eligibility_score,label,rm_id
APP202600017,3271010101840017,CIF1000017,2026-02-04,UMKM,UD Kusuma Sejahtera,UD,Rizky Lubis,L,42,Cerai Hidup,S1,Jawa Barat,Bogor,Bekasi Timur,Region 4,KCP Cikini,Pertanian,Peternakan Ayam,3,28,1521337,184,500000000,KUR,36,Tambahan modal kerja usaha Peternakan Ayam,Rumah,"Margahayu, Bekasi",Jawa Barat,Bekasi,651.8,3335597000,2668477600,6.67,SHM,Ya,3.0,0.533,Ditolak,RM0028
APP202600018,3172011502850018,CIF1000018,2025-11-26,UMKM,CV Halim Mandiri,PT,Fajar Hidayat,L,41,Menikah,S2,DKI Jakarta,Jakarta Utara,Tebet,Region 3,KCP Depok Margonda,Jasa,Bengkel,19,7,2604869,39,200000000,KMK,18,Modal kerja operasional usaha Bengkel,Ruko,"Kelapa Gading Barat, Jakarta Utara",DKI Jakarta,Jakarta Utara,706.5,9984115000,7987292000,49.92,HGB,Ya,3.0,0.525,Ditolak,RM0016
APP202600019,3174012110980019,CIF1000019,2026-08-06,UMKM,UD Kurniawan Mandiri,UD,Gunawan Rahman,L,28,Belum Menikah,SMA/SMK,DKI Jakarta,Jakarta Selatan,Bekasi Timur,Region 3,KCP Tebet,Pertanian,Distributor Hasil Tani,18,33,1359169,47,300000000,KMK,18,Modal kerja operasional usaha Distributor Hasil Tani,Ruko,"Margahayu, Bekasi",Jawa Barat,Bekasi,355.5,2164396000,1731516800,7.21,SHM,Ya,3.0,0.739,Diterima,RM0003
APP202600020,3674015810770020,CIF1000020,2026-02-28,UMKM,UD Halim Makmur,CV,Siti Wibowo,P,49,Belum Menikah,SMA/SMK,Jawa Barat,Tangerang Selatan,Kramat Jati,Region 2,KCP Tangerang BSD,Jasa,Percetakan,1,59,905345,78,100000000,KMK,12,Modal kerja operasional usaha Percetakan,Ruko,"Gunung, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,208.5,5544622000,4435697600,55.45,HGB,Ya,3.0,0.437,Ditolak,RM0024
APP202600021,3671012107980021,CIF1000021,2026-07-14,UMKM,PT Wijaya Abadi,UD,Taufik Panjaitan,L,28,Menikah,S2,Banten,Tangerang,Tebet,Region 2,KCP Tebet,Perdagangan,Grosir Pakaian,14,56,1159887,94,200000000,KUR,36,Tambahan modal kerja usaha Grosir Pakaian,Tanah,"Cakung Barat, Jakarta Timur",DKI Jakarta,Jakarta Timur,227.9,2753032000,2202425600,13.77,HGB,Ya,3.0,0.738,Diterima,RM0001
APP202600022,3171011102830022,CIF1000022,2026-02-13,UMKM,PT Setiawan Sejahtera,CV,Andi Simanjuntak,L,43,Cerai Mati,S1,DKI Jakarta,Jakarta Pusat,Sukmajaya,Region 2,KCP Kelapa Gading,Jasa,Laundry,15,65,2196791,41,150000000,KUR,12,Tambahan modal kerja usaha Laundry,Rumah,"Margahayu, Bekasi",Jawa Barat,Bekasi,147.5,978231000,782584800,6.52,SHM,Ya,3.0,0.8,Diterima,RM0005
APP202600023,3175015609750023,CIF1000023,2025-08-22,UMKM,UD Susanto Mandiri,PT,Suryani Firmansyah,P,51,Menikah,S2,DKI Jakarta,Jakarta Timur,Cengkareng,Region 2,KCP Kemang,Manufaktur,Pengolahan Makanan Ringan,17,12,826255,176,750000000,KI,48,Pembelian mesin produksi tambahan usaha Pengolahan Makanan Ringan,Tanah,"Menteng, Jakarta Pusat",DKI Jakarta,Jakarta Pusat,368.6,18746996000,14997596800,25.0,SHM,Ya,3.0,0.492,Ditolak,RM0029
APP202600024,3174015202890024,CIF1000024,2026-07-28,UMKM,UD Susanto Mandiri,CV,Nina Siregar,P,37,Cerai Hidup,S1,DKI Jakarta,Jakarta Selatan,Kramat Jati,Region 1,KCP Kemang,Kuliner,Bakery,2,55,1434237,59,500000000,KUR,24,Tambahan modal kerja usaha Bakery,Tanah,"Kelapa Gading Barat, Jakarta Utara",DKI Jakarta,Jakarta Utara,137.8,3008174000,2406539200,6.02,HGB,Ya,3.0,0.712,Diterima,RM0031
APP202600025,3671010906920025,CIF1000025,2025-11-06,UMKM,PT Pratama Makmur,PT,Hadi Rahman,L,34,Menikah,S1,Banten,Tangerang,Cengkareng,Region 3,KCP Tebet,Perdagangan,Toko Sembako,19,60,556324,107,1000000000,KMK,12,Modal kerja pembelian stok barang dagangan Toko Sembako,Rumah,"Kramat Jati, Jakarta Timur",DKI Jakarta,Jakarta Timur,807.3,9196592000,7357273600,9.2,SHM,Ya,3.0,0.742,Diterima,RM0001
APP202600026,3671011103970026,CIF1000026,2026-01-16,UMKM,CV Panjaitan Jaya,CV,Wahyu Susanto,L,29,Cerai Mati,SMA/SMK,Banten,Tangerang,Tebet,Region 4,KCP Bekasi Barat,Jasa,Bengkel,8,59,833211,78,100000000,KI,36,Pembelian peralatan/mesin usaha Bengkel,Gudang,"Duren Tiga, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,273.2,4645488000,3716390400,46.45,SHM,Ya,3.0,0.817,Diterima,RM0010
APP202600027,3276017107930027,CIF1000027,2025-06-06,UMKM,PT Saputra Jaya,PT,Dewi Santoso,P,33,Belum Menikah,SMA/SMK,Jawa Barat,Depok,Tebet,Region 3,KCP Kelapa Gading,Pertanian,Distributor Hasil Tani,7,54,8880239,121,50000000,KMK,12,Modal kerja operasional usaha Distributor Hasil Tani,Ruko,"Bintara, Bekasi",Jawa Barat,Bekasi,266.9,1757723000,1406178400,35.15,SHM,Ya,0.52,0.754,Diterima,RM0006
APP202600028,3671011204840028,CIF1000028,2025-02-15,UMKM,CV Simanjuntak Abadi,PT,Fauzi Halim,L,42,Belum Menikah,SMA/SMK,Banten,Tangerang,Kramat Jati,Region 2,KCP Bekasi Barat,Jasa,Jasa Konstruksi Kecil,11,53,2177058,73,200000000,KUR,12,Tambahan modal kerja usaha Jasa Konstruksi Kecil,Tanah,"Kelapa Gading Barat, Jakarta Utara",DKI Jakarta,Jakarta Utara,352.6,7510380000,6008304000,37.55,HGB,Ya,3.0,0.817,Diterima,RM0009
APP202600029,3671010311920029,CIF1000029,2025-06-21,UMKM,UD Santoso Jaya,CV,Rudi Situmorang,L,34,Cerai Hidup,SMA/SMK,Banten,Tangerang,Kramat Jati,Region 3,KCP Tangerang BSD,Perdagangan,Toko Alat Tulis,9,57,4284387,74,1000000000,KMK,24,Modal kerja pembelian stok barang dagangan Toko Alat Tulis,Rumah,"Kramat Jati, Jakarta Timur",DKI Jakarta,Jakarta Timur,216.2,2731330000,2185064000,2.73,HGB,Ya,3.0,0.696,Diterima,RM0023
APP202600030,3671016012760030,CIF1000030,2026-05-17,UMKM,PT Kusuma Makmur,PT,Retno Lubis,P,50,Cerai Mati,S2,Banten,Tangerang,Kramat Jati,Region 1,KCP Bekasi Barat,Manufaktur,Konveksi,7,26,1343890,169,750000000,KMK,24,Modal kerja pembelian bahan baku produksi Konveksi,Tanah,"Poris Plawad, Tangerang",Banten,Tangerang,236.4,1881744000,1505395200,2.51,SHM,Tidak,3.0,0.757,Diterima,RM0009
APP202600031,3174015008940031,CIF1000031,2025-05-13,UMKM,CV Siregar Makmur,UD,Lestari Nugroho,P,32,Cerai Mati,S2,DKI Jakarta,Jakarta Selatan,Cengkareng,Region 4,KCP Cikini,Manufaktur,Konveksi,17,10,787725,95,100000000,KMK,18,Modal kerja pembelian bahan baku produksi Konveksi,Ruko,"Sukabumi Selatan, Jakarta Barat",DKI Jakarta,Jakarta Barat,658.8,9787176000,7829740800,97.87,HGB,Ya,3.0,0.831,Diterima,RM0027
APP202600032,3276015701910032,CIF1000032,2025-07-06,UMKM,CV Saputra Mandiri,PT,Siti Saputra,P,35,Cerai Mati,D3,Jawa Barat,Depok,Serpong,Region 1,KCP Kelapa Gading,Jasa,Bengkel,9,60,1818830,91,150000000,KUR,36,Tambahan modal kerja usaha Bengkel,Gudang,"Kemiri Muka, Depok",Jawa Barat,Depok,144.1,961289000,769031200,6.41,HGB,Ya,2.7,0.807,Diterima,RM0008
APP202600033,3175012912660033,CIF1000033,2025-10-06,UMKM,UD Halim Makmur,PT,Slamet Siregar,L,60,Cerai Hidup,S1,DKI Jakarta,Jakarta Timur,Bekasi Timur,Region 3,KCP Tebet,Perdagangan,Toko Alat Tulis,10,46,1073829,42,750000000,KMK,24,Modal kerja pembelian stok barang dagangan Toko Alat Tulis,Gudang,"Gunung, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,623.9,16354946000,13083956800,21.81,HGB,Tidak,3.0,0.684,Diterima,RM0004
APP202600034,3671014110870034,CIF1000034,2026-01-09,UMKM,UD Saputra Mandiri,PT,Yanti Saputra,P,39,Belum Menikah,D3,Banten,Tangerang,Sukmajaya,Region 3,KCP Tangerang BSD,Transportasi,Ekspedisi Kecil,2,59,1773081,45,750000000,KMK,24,Modal kerja operasional armada Ekspedisi Kecil,Ruko,"Rawa Buntu, Tangerang Selatan",Jawa Barat,Tangerang Selatan,290.0,2386375000,1909100000,3.18,HGB,Ya,3.0,0.348,Ditolak,RM0023
APP202600035,3671015108920035,CIF1000035,2026-08-01,UMKM,CV Suryadi Mandiri,CV,Yanti Wibowo,P,34,Cerai Hidup,S2,Banten,Tangerang,Kramat Jati,Region 2,KCP Cikini,Manufaktur,Furniture,5,54,1224513,135,150000000,KI,60,Pembelian mesin produksi tambahan usaha Furniture,Ruko,"Cakung Barat, Jakarta Timur",DKI Jakarta,Jakarta Timur,371.1,3060644000,2448515200,20.4,HGB,Ya,3.0,0.753,Diterima,RM0028
APP202600036,3671014712870036,CIF1000036,2025-03-27,UMKM,CV Tanjung Jaya,UD,Novi Suryadi,P,39,Cerai Hidup,S2,Banten,Tangerang,Sukmajaya,Region 3,KCP Cikini,Transportasi,Ekspedisi Kecil,5,12,3363266,157,500000000,KUR,18,Tambahan modal kerja usaha Ekspedisi Kecil,Ruko,"Cakung Barat, Jakarta Timur",DKI Jakarta,Jakarta Timur,604.3,4637315000,3709852000,9.27,HGB,Ya,3.0,0.572,Diterima,RM0027
APP202600037,3175012901750037,CIF1000037,2025-08-10,UMKM,PT Permana Abadi,CV,Fauzi Situmorang,L,51,Cerai Mati,D3,DKI Jakarta,Jakarta Timur,Sukmajaya,Region 1,KCP Pluit,Manufaktur,Pengolahan Makanan Ringan,16,64,1191108,43,50000000,KI,42,Pembelian mesin produksi tambahan usaha Pengolahan Makanan Ringan,Rumah,"Cakung Barat, Jakarta Timur",DKI Jakarta,Jakarta Timur,439.5,4043613000,3234890400,80.87,HGB,Ya,3.0,0.742,Diterima,RM0036
APP202600038,3671016303970038,CIF1000038,2026-05-31,UMKM,UD Situmorang Abadi,UD,Melati Tanjung,P,29,Belum Menikah,S2,Banten,Tangerang,Tebet,Region 2,KCP Bogor Baranangsiang,Kuliner,Bakery,2,17,1660997,44,50000000,KUR,18,Tambahan modal kerja usaha Bakery,Tanah,"Cakung Barat, Jakarta Timur",DKI Jakarta,Jakarta Timur,119.3,1513917000,1211133600,30.28,SHM,Ya,3.0,0.743,Diterima,RM0020
APP202600039,3671010304670039,CIF1000039,2026-06-03,UMKM,CV Kurniawan Abadi,CV,Yudi Hutapea,L,59,Cerai Mati,S2,Banten,Tangerang,Bekasi Timur,Region 2,KCP Cikini,Pertanian,Peternakan Ayam,12,35,2212933,142,750000000,KI,54,Pengembangan lahan/kandang usaha Peternakan Ayam,Rumah,"Cakung Barat, Jakarta Timur",DKI Jakarta,Jakarta Timur,189.3,1505223000,1204178400,2.01,SHM,Ya,3.0,0.726,Diterima,RM0027
APP202600040,3671015003850040,CIF1000040,2025-11-28,UMKM,CV Hutapea Mandiri,PT,Melati Pratama,P,41,Cerai Hidup,S1,Banten,Tangerang,Serpong,Region 3,KCP Bekasi Barat,Jasa,Jasa Konstruksi Kecil,7,76,2306291,108,50000000,KMK,18,Modal kerja operasional usaha Jasa Konstruksi Kecil,Ruko,"Cakung Barat, Jakarta Timur",DKI Jakarta,Jakarta Timur,299.5,2558604000,2046883200,51.17,HGB,Ya,1.4,0.782,Diterima,RM0009
APP202600041,3276015003770041,CIF1000041,2025-09-30,UMKM,PT Permana Mandiri,CV,Rina Hutapea,P,49,Belum Menikah,D3,Jawa Barat,Depok,Kramat Jati,Region 2,KCP Kelapa Gading,Perdagangan,Grosir Pakaian,19,4,1324188,184,300000000,KMK,18,Modal kerja pembelian stok barang dagangan Grosir Pakaian,Rumah,"Kramat Jati, Jakarta Timur",DKI Jakarta,Jakarta Timur,223.9,3275676000,2620540800,10.92,HGB,Ya,3.0,0.893,Diterima,RM0008
APP202600042,3271010505890042,CIF1000042,2025-11-12,UMKM,CV Pratama Makmur,CV,Andi Permana,L,37,Menikah,SMA/SMK,Jawa Barat,Bogor,Sukmajaya,Region 2,KCP Bekasi Barat,Kuliner,Restoran,19,15,4304742,147,150000000,KMK,24,Modal kerja pembelian bahan baku harian usaha Restoran,Tanah,"Rawa Buntu, Tangerang Selatan",Jawa Barat,Tangerang Selatan,175.3,2008938000,1607150400,13.39,SHM,Ya,3.0,0.432,Ditolak,RM0012
APP202600043,3271015910980043,CIF1000043,2025-12-07,UMKM,CV Firmansyah Jaya,CV,Wati Santoso,P,28,Cerai Hidup,D3,Jawa Barat,Bogor,Bekasi Timur,Region 4,KCP Bogor Baranangsiang,Perdagangan,Grosir Pakaian,14,18,1057444,154,50000000,KUR,24,Tambahan modal kerja usaha Grosir Pakaian,Rumah,"Menteng, Jakarta Pusat",DKI Jakarta,Jakarta Pusat,768.0,23046560000,18437248000,460.93,HGB,Ya,2.21,0.72,Diterima,RM0018
APP202600044,3271014201950044,CIF1000044,2025-08-18,UMKM,PT Santoso Sejahtera,PT,Wati Santoso,P,31,Menikah,D3,Jawa Barat,Bogor,Bekasi Timur,Region 1,KCP Kemang,Kuliner,Warung Makan,1,36,3270136,90,100000000,KMK,24,Modal kerja pembelian bahan baku harian usaha Warung Makan,Ruko,"Duren Tiga, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,725.6,11092374000,8873899200,110.92,SHM,Ya,3.0,0.542,Ditolak,RM0030
APP202600045,3173012502730045,CIF1000045,2025-06-03,UMKM,CV Lubis Abadi,UD,Gunawan Permana,L,53,Cerai Mati,SMA/SMK,DKI Jakarta,Jakarta Barat,Cengkareng,Region 2,KCP Cikini,Perdagangan,Grosir Pakaian,10,51,8197395,73,150000000,KUR,12,Tambahan modal kerja usaha Grosir Pakaian,Ruko,"Sukabumi Selatan, Jakarta Barat",DKI Jakarta,Jakarta Barat,100.5,1582396000,1265916800,10.55,SHM,Ya,3.0,0.65,Diterima,RM0026
APP202600046,3275014502860046,CIF1000046,2025-07-18,UMKM,CV Tanjung Mandiri,UD,Tri Permana,P,40,Menikah,S1,Jawa Barat,Bekasi,Serpong,Region 2,KCP Pluit,Manufaktur,Furniture,15,38,477938,163,200000000,KI,48,Pembelian mesin produksi tambahan usaha Furniture,Rumah,"Paledang, Bogor",Jawa Barat,Bogor,282.1,1348611000,1078888800,6.74,SHM,Ya,3.0,0.668,Diterima,RM0034
APP202600047,3172010211710047,CIF1000047,2025-11-19,UMKM,UD Santoso Makmur,CV,Fajar Hidayat,L,55,Cerai Hidup,SMA/SMK,DKI Jakarta,Jakarta Utara,Bekasi Timur,Region 2,KCP Tebet,Transportasi,Ekspedisi Kecil,19,44,831525,116,200000000,KI,42,Pembelian armada kendaraan tambahan usaha Ekspedisi Kecil,Ruko,"Mekarjaya, Depok",Jawa Barat,Depok,612.2,3715881000,2972704800,18.58,HGB,Ya,3.0,0.605,Diterima,RM0001
APP202600048,3671016211990048,CIF1000048,2026-05-10,UMKM,UD Simanjuntak Abadi,PT,Sri Simanjuntak,P,27,Cerai Mati,S1,Banten,Tangerang,Sukmajaya,Region 3,KCP Cibubur,Kuliner,Katering,10,7,1728146,39,75000000,KMK,12,Modal kerja pembelian bahan baku harian usaha Katering,Tanah,"Paledang, Bogor",Jawa Barat,Bogor,185.0,1204350000,963480000,16.06,SHM,Tidak,3.0,0.699,Diterima,RM0040
APP202600049,3172016512950049,CIF1000049,2025-03-21,UMKM,UD Kurniawan Abadi,CV,Lina Hidayat,P,31,Cerai Hidup,S2,DKI Jakarta,Jakarta Utara,Sukmajaya,Region 1,KCP Tebet,Jasa,Laundry,5,33,3161138,130,300000000,KMK,18,Modal kerja operasional usaha Laundry,Ruko,"Bojong Jaya, Tangerang",Banten,Tangerang,428.8,2732687000,2186149600,9.11,SHM,Ya,3.0,0.792,Diterima,RM0002
APP202600050,3172015801940050,CIF1000050,2025-02-26,UMKM,CV Siregar Makmur,PT,Yanti Halim,P,32,Cerai Mati,SMA/SMK,DKI Jakarta,Jakarta Utara,Cengkareng,Region 2,KCP Tebet,Pertanian,Distributor Hasil Tani,2,24,3487834,51,100000000,KI,36,Pengembangan lahan/kandang usaha Distributor Hasil Tani,Tanah,"Sukabumi Selatan, Jakarta Barat",DKI Jakarta,Jakarta Barat,256.1,5621395000,4497116000,56.21,SHM,Ya,2.3,0.385,Ditolak,RM0002
APP202600051,3671011808920051,CIF1000051,2026-01-21,UMKM,CV Lubis Jaya,CV,Joko Pratama,L,34,Menikah,D3,Banten,Tangerang,Cengkareng,Region 1,KCP Bogor Baranangsiang,Jasa,Bengkel,19,28,797703,189,75000000,KI,36,Pembelian peralatan/mesin usaha Bengkel,Rumah,"Mekarjaya, Depok",Jawa Barat,Depok,236.3,1641885000,1313508000,21.89,HGB,Tidak,3.0,0.77,Diterima,RM0019
APP202600052,3173016507900052,CIF1000052,2026-04-24,UMKM,UD Hidayat Sejahtera,UD,Melati Suryadi,P,36,Cerai Hidup,SMA/SMK,DKI Jakarta,Jakarta Barat,Bekasi Timur,Region 1,KCP Tebet,Kuliner,Restoran,10,23,1491076,123,1000000000,KI,42,Renovasi & penambahan peralatan usaha Restoran,Rumah,"Gunung, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,857.7,19049517000,15239613600,19.05,SHM,Ya,3.0,0.606,Diterima,RM0004
APP202600053,3671014712890053,CIF1000053,2025-05-17,UMKM,CV Lubis Jaya,CV,Ratna Firmansyah,P,37,Belum Menikah,D3,Banten,Tangerang,Bekasi Timur,Region 1,KCP Tebet,Manufaktur,Pengolahan Makanan Ringan,17,12,3658561,196,75000000,KI,36,Pembelian mesin produksi tambahan usaha Pengolahan Makanan Ringan,Tanah,"Tebet Timur, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,205.6,6562752000,5250201600,87.5,SHM,Ya,0.74,0.717,Diterima,RM0002
