laporan_id,NIK,year,revenue,net_profit,total_asset,total_liability,operating_cashflow
FIN000066,3175012912660033,2025,12885957,784089,17313458,11353397,639940
FIN000067,3671014110870034,2024,24608988,1938121,32976241,13058887,2382342
FIN000068,3671014110870034,2025,21276976,1479181,41781398,9244733,1899154
FIN000069,3671015108920035,2024,11161331,491160,21704786,8728071,444873
FIN000070,3671015108920035,2025,14694160,849647,20911532,9025957,1035865
FIN000071,3671014712870036,2024,36154774,981452,55628224,24531339,1149392
FIN000072,3671014712870036,2025,40359203,1068742,68572532,35197137,1093326
FIN000073,3175012901750037,2024,12186115,577422,16278708,7373724,731245
FIN000074,3175012901750037,2025,14293300,656458,18536348,5773902,882118
FIN000075,3671016303970038,2024,15872560,2890621,21676456,12744169,2844741
FIN000076,3671016303970038,2025,19931968,4176473,34445540,8121790,5427591
FIN000077,3671010304670039,2024,23040851,1889800,33916152,13167118,2492913
FIN000078,3671010304670039,2025,26555204,1653637,42500895,29020161,1422257
FIN000079,3671015003850040,2024,30693889,3979327,49999534,15864936,3916557
FIN000080,3671015003850040,2025,27675499,3228227,48509982,21526164,2949177
FIN000081,3276015003770041,2024,13334717,1243002,18805020,10051974,1657558
FIN000082,3276015003770041,2025,15890265,1501908,27081272,15672078,1652290
FIN000083,3271010505890042,2024,41539269,3584613,57425498,19406090,3942921
FIN000084,3271010505890042,2025,51656906,3892879,97652987,58033865,3834443
FIN000085,3271015910980043,2024,12327825,1167306,15978207,9916083,1488876
FIN000086,3271015910980043,2025,12689331,1215247,15892399,10743168,1202506
FIN000087,3271014201950044,2024,36400483,7379593,55818260,36995221,9447753
FIN000088,3271014201950044,2025,39241634,6808223,58365652,14608625,9137200
FIN000089,3173012502730045,2024,89212746,12822367,148405728,63498421,11369046
FIN000090,3173012502730045,2025,98368751,11383315,151086456,65202973,12674561
FIN000091,3275014502860046,2024,8284586,1011478,10695318,6697028,927159
FIN000092,3275014502860046,2025,5735258,644676,7396585,3766536,700494
FIN000093,3172010211710047,2024,15070216,2207046,27335312,14423882,2226892
FIN000094,3172010211710047,2025,9978306,1854055,12565193,4462454,1900229
FIN000095,3671016211990048,2024,17081268,2068331,31953510,20849238,2233545
FIN000096,3671016211990048,2025,20737759,2422410,27477489,13760541,2112382
FIN000097,3172016512950049,2024,32262648,5168603,56680106,26346670,5750788
FIN000098,3172016512950049,2025,37933663,4866575,56558078,26085984,5265392
FIN000099,3172015801940050,2024,41590298,6026890,73510707,47812184,6171975
FIN000100,3172015801940050,2025,41854014,5031436,74615902,36876330,6176064
FIN000101,3671011808920051,2024,9154252,893896,15247403,6012145,800234
FIN000102,3671011808920051,2025,9572438,818115,16934391,6620938,881566
FIN000103,3173016507900052,2024,14047432,1560779,21116057,7499593,1685192
FIN000104,3173016507900052,2025,17892915,2275830,27445186,16941040,2576137
FIN000105,3671014712890053,2024,43281152,7004477,78243172,49103153,8095149
FIN000106,3671014712890053,2025,43902736,5905203,87460513,28163164,7816660
FIN000107,3674016707000054,2024,3841629,696141,5921809,1975388,797053
FIN000108,3674016707000054,2025,5267409,775765,8993177,3970222,854427
FIN000109,3674015806980055,2024,51468616,9939903,95905405,32997146,9401806
FIN000110,3674015806980055,2025,69140685,12163511,77953815,50694304,17022978
FIN000111,3671014508730056,2024,19655498,3242082,35325144,16071971,4421146
FIN000112,3671014508730056,2025,20657154,3327814,28743111,20103290,4615361
FIN000113,3275010510960057,2024,17216007,1350152,27404335,17268333,1159084
FIN000114,3275010510960057,2025,22495512,1941609,37089803,18170253,1807829
FIN000115,3671012101860058,2024,31771916,3978377,36164449,11926408,3357827
FIN000116,3671012101860058,2025,44963191,5126256,58138009,30045087,6616267
FIN000117,3671016210710059,2024,11782965,936882,13260405,8987258,1191176
FIN000118,3671016210710059,2025,12555164,1075510,18064312,4149629,962313
FIN000119,3674015309780060,2024,23525413,779611,33295497,22551048,784036
FIN000120,3674015309780060,2025,21982639,796331,38620722,25101490,973032
FIN000121,3171011302650061,2024,24681484,1329318,35713780,9410099,1372605
FIN000122,3171011302650061,2025,41407529,2675636,77981269,40660618,2552787
FIN000123,3175014405000062,2024,10469742,660698,20717527,5274521,726971
FIN000124,3175014405000062,2025,10046428,668639,13272284,9085623,674933
FIN000125,3671011309840063,2024,21672529,2622982,39034725,19910288,2945953
FIN000126,3671011309840063,2025,27210589,2803565,35112156,8120123,2562705
FIN000127,3173015312970064,2024,17207153,156812,34016747,8110445,134368
FIN000128,3173015312970064,2025,20280248,213912,36089825,24765766,239210
FIN000129,3173015204880065,2024,48842617,2342990,92822273,41602259,2704015
FIN000130,3173015204880065,2025,57528716,2714442,77903339,40652420,3001310
FIN000131,3671016406030066,2024,35189531,3911547,40462168,20683223,4103320
FIN000132,3671016406030066,2025,41922983,4137658,60220133,26326992,4113082
FIN000133,3271015503700067,2024,15978280,1410516,18184390,6876120,1202559
FIN000134,3271015503700067,2025,15701673,1367525,29115282,14752840,1653853
FIN000135,3674014302990068,2024,21511975,2403581,25682388,17118635,2114762
FIN000136,3674014302990068,2025,27627086,3505806,41215354,9757435,4622269
FIN000137,3671010311960069,2024,56815495,7680346,68811887,36042655,10562975
FIN000138,3671010311960069,2025,54257392,7714100,67577383,39184884,10089884
FIN000139,3173016202970070,2024,11470608,1560995,13111765,5241243,1364893
FIN000140,3173016202970070,2025,12094858,1919687,14860588,9056825,1659700
FIN000141,3671015802680071,2024,4750297,649654,5229446,1379276,721292
FIN000142,3671015802680071,2025,4940857,603071,5774308,1783398,764643
FIN000143,3674016506800072,2024,87049222,8864650,123769721,46875900,11001697
FIN000144,3674016506800072,2025,73854313,9905685,105967102,57653133,11698052
FIN000145,3275015104790073,2024,13015471,132114,15785911,8873574,168135
FIN000146,3275015104790073,2025,14251546,137746,17924858,9173745,189193
FIN000147,3172010107850074,2024,15606326,1947080,30023948,15528725,1729574
FIN000148,3172010107850074,2025,15283255,2099998,21674207,9639976,2202957
FIN000149,3674015703790075,2024,11592135,2235233,14856131,5575981,1807450
FIN000150,3674015703790075,2025,14634571,2682622,19798340,4077130,2829691
FIN000151,3275010902990076,2024,13355624,123246,15512251,8484632,157759
FIN000152,3275010902990076,2025,12717575,141677,24694461,16248503,115670
FIN000153,3276015512750077,2024,19101793,1911579,21204357,4796865,2299185
FIN000154,3276015512750077,2025,22270821,2581588,28995724,7160770,2396525
FIN000155,3171014809850078,2024,35652212,1952849,46774776,30901167,2605357
FIN000156,3171014809850078,2025,35044739,2064824,69991498,24439390,2546131
FIN000157,3671013008930079,2024,14150042,1590546,17792204,12196074,1310412
FIN000158,3671013008930079,2025,16370251,2092592,31537550,21188168,2903665
FIN000159,3271011405960080,2024,18193025,2126357,31621026,15488190,2834310
FIN000160,3271011405960080,2025,17216685,2089736,29525234,7559935,1791562
FIN000161,3671016910740081,2024,7444465,981275,12865313,3700561,965091
FIN000162,3671016910740081,2025,7269185,826175,11930192,5768733,910435
FIN000163,3172015405810082,2024,10945841,866869,12521698,6613951,703677
FIN000164,3172015405810082,2025,10051735,647146,13675738,8796823,571198
FIN000165,3674014603010083,2024,11894836,1293742,19353632,6118337,1246814
FIN000166,3674014603010083,2025,17411639,2217691,31594014,14430577,2328443
FIN000167,3175016601890084,2024,34127377,5857214,53371939,16884459,5395560
FIN000168,3175016601890084,2025,40295484,8138013,79488188,32623029,9026333
FIN000169,3671011405920085,2024,27408888,2471825,54635978,31380217,2048300
FIN000170,3671011405920085,2025,35018155,3823657,67765822,24845287,4531748
FIN000171,3674011803700086,2024,12244585,2013650,19637208,13292857,2229965
FIN000172,3674011803700086,2025,16519682,2267931,19367394,4051432,2396646
FIN000173,3671012605020087,2024,27158556,3410927,37148699,15344596,3366731
FIN000174,3671012605020087,2025,28769959,2850541,55573252,28229163,2507140
FIN000175,3175010406890088,2024,20599870,696447,27702553,15284141,941767
FIN000176,3175010406890088,2025,22092491,973901,34641605,12335100,1317150
FIN000177,3171012004000089,2024,25386649,2295595,49362164,23052305,2794140
FIN000178,3171012004000089,2025,35386704,3504135,43248475,14528931,2895129
FIN000179,3172013003760090,2024,41777835,5115886,49184225,30551855,5738933
FIN000180,3172013003760090,2025,48151680,5602299,58590442,23302597,7453707
FIN000181,3171011004980091,2024,10685731,653699,20515803,11627228,853843
FIN000182,3171011004980091,2025,11529155,729121,12833609,3364781,768514
FIN000183,3671015608970092,2024,12943136,938895,19086177,7560886,1057259
FIN000184,3671015608970092,2025,15334190,1326568,29936337,10046407,1591339
FIN000185,3174015406790093,2024,19237472,1902935,21868601,11516923,2243065
FIN000186,3174015406790093,2025,19899921,2204803,31673407,16200153,2133481
FIN000187,3275017007000094,2024,19986627,1889054,38863970,26995415,2471583
FIN000188,3275017007000094,2025,23234102,2434229,39096062,9616637,2078587
FIN000189,3674016309970095,2024,13803062,1404502,22489802,11246599,1697903
FIN000190,3674016309970095,2025,17390483,1916693,25091445,5315204,2574221
FIN000191,3173010205690096,2024,12882435,131024,17821144,6312970,125327
FIN000192,3173010205690096,2025,14647326,135195,16512753,11211454,156445
FIN000193,3275016611770097,2024,22468113,1776196,42626995,23441094,2414825
FIN000194,3275016611770097,2025,21091023,1714977,33662393,22012624,1932777
FIN000195,3271012602700098,2024,10465789,712974,19116365,4621731,760718
FIN000196,3271012602700098,2025,10900107,755716,17701167,6672178,866276
FIN000197,3671013003800099,2024,15762025,3433412,17466971,9276640,2890011
FIN000198,3671013003800099,2025,19987054,3906713,35472706,10101458,4915704
FIN000199,3173010111830100,2024,17136667,568702,28859564,6039510,506921
FIN000200,3173010111830100,2025,22309020,782374,43410186,20916501,906132
FIN000201,3671012703950101,2024,14307254,2045171,27138167,11410276,2254877
FIN000202,3671012703950101,2025,20217458,3502019,27231848,13580352,4257837
FIN000203,3671016606800102,2024,12802579,708758,20504892,4319296,882835
FIN000204,3671016606800102,2025,14480615,760843,24913149,14559430,952247
FIN000205,3671010605650103,2024,14086530,336607,25703704,15710008,329249
FIN000206,3671010605650103,2025,18407775,382533,31463345,20894562,364371
FIN000207,3171016101820104,2024,18144229,2927027,27142004,16378262,4046017
FIN000208,3171016101820104,2025,20977446,2846458,30354438,19160581,2578902
FIN000209,3175017010900105,2024,9749983,451184,15034672,5240552,545004
FIN000210,3175017010900105,2025,10320819,437546,19525139,8604147,500416
FIN000211,3271015412680106,2024,30155920,3833411,58844685,27065847,3965745
FIN000212,3271015412680106,2025,30286549,3879833,52950509,27824852,5351108
FIN000213,3175015412990107,2024,7956701,897835,9985065,2125639,1207996
FIN000214,3175015412990107,2025,9696279,984148,14732959,3617463,1012657
FIN000215,3276011310720108,2024,15306273,1727488,19440526,9293176,2139924
FIN000216,3276011310720108,2025,19824628,1890455,28844629,19973194,2374108
FIN000217,3276016309840109,2024,43931343,4658012,62532521,17789928,6447493
FIN000218,3276016309840109,2025,27660027,2643372,45387895,30854747,2709348
FIN000219,3275012207670110,2024,80973082,13842841,115314860,60039794,17096120
FIN000220,3275012207670110,2025,99908653,14203398,120481946,43078947,14116431
FIN000221,3671014406790111,2024,23628437,3776319,47060299,27803691,4852699
FIN000222,3671014406790111,2025,29506490,4622797,36308635,14333542,4625300
FIN000223,3671011709840112,2024,14819727,2033521,24680387,9689094,1871580
FIN000224,3671011709840112,2025,14730811,2242771,18044596,6349932,2812301
FIN000225,3172014706950113,2024,48618773,5004206,88256254,43149222,5545906
FIN000226,3172014706950113,2025,61109199,6295982,88231056,57072448,5838462
FIN000227,3671015410700114,2024,6275323,980906,9557062,2650871,1293777
FIN000228,3671015410700114,2025,7420114,974718,9964984,2539609,842255
FIN000229,3175014911780115,2024,10187387,2295656,13953676,4947822,2175872
FIN000230,3175014911780115,2025,10682994,2342361,15866960,7556021,2400383
FIN000231,3671015109940116,2024,40140320,6412274,78376548,34443418,8817858
FIN000232,3671015109940116,2025,41781571,5059957,49406103,15891712,4683072
FIN000233,3276014412840117,2024,16384660,1768368,19078179,11000566,2107997
FIN000234,3276014412840117,2025,13022753,1621967,25333299,12486343,2063191
FIN000235,3674014807990118,2024,12949078,582844,20551384,11491690,744621
FIN000236,3674014807990118,2025,13493742,632060,15416883,5790710,722737
FIN000237,3271015611890119,2024,13697169,192921,15756341,6488907,242059
FIN000238,3271015611890119,2025,15369820,244565,25143472,16853824,342177
FIN000239,3171012008010120,2024,8100949,545202,12378913,2961107,445697
FIN000240,3171012008010120,2025,12120849,997745,22697022,8080873,1071749
FIN000241,3174015904790121,2024,150800407,18414071,170182130,91605766,23900110
FIN000242,3174015904790121,2025,137377091,19782352,234497857,69326831,22826229
FIN000243,3174014811650122,2024,14854633,2433202,17645985,9952801,2121622
FIN000244,3174014811650122,2025,15899888,2498170,18887320,6853500,3162976
FIN000245,3173017008930123,2024,36431630,4747758,63289832,26250290,5266338
FIN000246,3173017008930123,2025,40031679,5065343,78535155,37535338,4985767
FIN000247,3172012910800124,2024,32863523,920867,48597035,29995713,997476
FIN000248,3172012910800124,2025,35879407,1116055,42377030,24623750,1216213
FIN000249,3173017009810125,2024,42326763,4647463,56542531,37151160,5401217
FIN000250,3173017009810125,2025,33955077,3451842,49561302,28299489,3930546
FIN000251,3271016906010126,2024,11623490,2019381,22655326,7701891,2804114
FIN000252,3271016906010126,2025,11598353,1848877,13160409,4985828,1645104
FIN000253,3171011811660127,2024,13874179,1208338,18960005,12712304,1654984
FIN000254,3171011811660127,2025,14745003,1642708,16380615,3506462,1324375
FIN000255,3175014404770128,2024,18002215,2185767,23861604,9666274,2829819
FIN000256,3175014404770128,2025,20551568,2402816,25059683,6362363,2706129
FIN000257,3275015308970129,2024,12600525,674226,22380744,5119385,621398
FIN000258,3275015308970129,2025,12614177,656471,13930644,6542820,600028
FIN000259,3674015301920130,2024,25725219,6082193,51023604,15814104,7295751
FIN000260,3674015301920130,2025,28970821,7173778,56830541,29049907,6302167
FIN000261,3173015904810131,2024,19136637,2220627,31566692,11556806,2018449
FIN000262,3173015904810131,2025,21010487,2705933,37395444,17034562,2776350
FIN000263,3671016202920132,2024,31490969,3173371,41745543,17644742,2988559
FIN000264,3671016202920132,2025,31962805,3156061,57180659,36981746,2651988
FIN000265,3671015303760133,2024,29238084,3405286,34203888,21369370,4425637
FIN000266,3671015303760133,2025,28704178,3341700,55246767,12365173,3136447
FIN000267,3172016310770134,2024,44604197,4360654,79461214,46614031,4250661
FIN000268,3172016310770134,2025,40795204,3931272,49392861,12516163,4522670
FIN000269,3271013010960135,2024,16775673,1483627,23706535,8910379,1603464
FIN000270,3271013010960135,2025,11931405,1221788,23175755,10952417,1311682
FIN000271,3171015307000136,2024,41457266,7391474,72863246,49268098,9843577
FIN000272,3171015307000136,2025,51298194,9081241,74505154,29288435,11303619
FIN000273,3674013107880137,2024,17043759,1677538,26056617,8971158,2115303
FIN000274,3674013107880137,2025,17110995,1999312,30874950,8475900,2002579
FIN000275,3671014410700138,2024,30845818,5463055,42467743,11360471,7080428
FIN000276,3671014410700138,2025,31597048,5357325,44377569,9039443,5688659
FIN000277,3276015007800139,2024,44106825,3400790,58869519,31142761,4649886
FIN000278,3276015007800139,2025,41584352,3686610,46732538,24551362,5039046
FIN000279,3172011801910140,2024,42737795,4519216,54313410,14808703,4093415
FIN000280,3172011801910140,2025,52798121,5628601,86090988,36827295,5392272
FIN000281,3275010505870141,2024,18885691,1776987,36460865,10712275,1639053
FIN000282,3275010505870141,2025,21564694,2240963,34724725,10000001,2000192
FIN000283,3674010111850142,2024,18752959,1968644,28402168,16232498,1827155
FIN000284,3674010111850142,2025,22473323,2767331,34303799,14250292,3284818
FIN000285,3275013112760143,2024,43707183,4818228,78651074,22434815,4129195
FIN000286,3275013112760143,2025,47785700,5634507,80378523,49633656,7736897
FIN000287,3271010807730144,2024,30150026,2886506,50643525,22973336,3407439
FIN000288,3271010807730144,2025,21848938,2363021,27294364,7100137,2597223
FIN000289,3171014303910145,2024,28635901,3029998,54763074,23884810,3183811
FIN000290,3171014303910145,2025,30197984,3429807,43431323,20338010,4710291
FIN000291,3271010804990146,2024,17417296,584215,32361570,7961227,500589
FIN000292,3271010804990146,2025,18826340,823769,27643965,15028579,1083015
FIN000293,3271010801020147,2024,8581698,1021631,14338809,5141482,1030485
FIN000294,3271010801020147,2025,8354361,993550,12336229,3467281,985426
FIN000295,3275011301670148,2024,9931142,1615771,15330005,3885543,2206879
FIN000296,3275011301670148,2025,9762795,1382321,15632857,4574133,1382301
FIN000297,3276015808820149,2024,13029951,2199862,24155169,5511403,2085804
FIN000298,3276015808820149,2025,15574936,3521490,18268414,11197995,4194796
FIN000299,3271016403950150,2024,29111464,5235570,49545960,33483946,4430448
FIN000300,3271016403950150,2025,41291108,7836847,62970035,19907698,9753229
FIN000301,3172012003930151,2024,12865533,148953,23974461,5450282,160934
FIN000302,3172012003930151,2025,15319288,191667,24711699,7383784,253522
FIN000303,3276017005830152,2024,36730643,4617291,69389466,48162288,5749117
FIN000304,3276017005830152,2025,41534501,5352277,54510638,15170829,5036297
FIN000305,3271014407890153,2024,10584822,461033,14895655,4435871,435987
FIN000306,3271014407890153,2025,12803578,568875,18785821,8577221,735444
FIN000307,3276011812950154,2024,19175694,4657815,24795219,8541853,6273420
FIN000308,3276011812950154,2025,19551687,4622708,23795414,15823321,3726371
FIN000309,3175016111660155,2024,14123766,1564370,25525997,17447898,1759289
FIN000310,3175016111660155,2025,18128690,1799908,20154187,5850837,1977329
FIN000311,3271012802710156,2024,8856493,1138675,15421028,9472594,1167008
FIN000312,3271012802710156,2025,11164106,1625245,16674185,11552311,1306698
FIN000313,3671010607690157,2024,7758865,681988,13704038,6147838,713524
FIN000314,3671010607690157,2025,7812704,584780,8755221,5941828,693518
FIN000315,3671016606990158,2024,31272249,5090463,42689247,9466161,6487949
FIN000316,3671016606990158,2025,34533515,6202530,52930264,33142206,6617522
FIN000317,3276010708980159,2024,38958112,3612916,74539587,34177006,4072098
FIN000318,3276010708980159,2025,30240254,2768139,35987700,21185920,2936911
FIN000319,3671016903770160,2024,38730234,1923181,63983474,36612689,2002529
FIN000320,3671016903770160,2025,40037913,1875864,44990554,13902704,2325119
FIN000321,3671015511720161,2024,21513961,3228056,42709406,23052368,3273817
FIN000322,3671015511720161,2025,23686465,3362728,44527670,15987621,2779693
FIN000323,3174011209760162,2024,24840761,1917627,41035436,18474807,2351989
FIN000324,3174011209760162,2025,23736421,1840570,28669503,8031299,2352929
FIN000325,3671015510670163,2024,29375968,2162470,44144934,24437795,2813989
FIN000326,3671015510670163,2025,26660006,1611240,44873231,11329544,1655267
FIN000327,3171015406860164,2024,22899346,1096459,41538201,21599061,1347302
FIN000328,3171015406860164,2025,26618224,1114604,29945192,20505592,1177266
FIN000329,3671012807880165,2024,15314428,1222614,24976355,14317296,1294699
FIN000330,3671012807880165,2025,16857341,1175505,19580062,11101633,1010312
FIN000331,3671012003700166,2024,53724436,6928020,103478679,45094335,6063026
FIN000332,3671012003700166,2025,52747937,8254310,79499440,21089266,8539032
FIN000333,3172016809850167,2024,6834438,623612,8876952,2147112,668124
FIN000334,3172016809850167,2025,9225328,1038287,12683033,4174859,1352298
FIN000335,3671011104890168,2024,24090009,284518,32723015,8680760,245683
FIN000336,3671011104890168,2025,25876026,348305,34922263,9890801,385536
FIN000337,3674014711810169,2024,30168189,2189188,48312898,27596725,1753144
FIN000338,3674014711810169,2025,38924381,2313771,70911389,44359286,2327802
FIN000339,3174012105780170,2024,11614112,1466804,17183522,8263630,1739576
FIN000340,3174012105780170,2025,12946307,1302575,14673348,6065964,1167386
FIN000341,3174015206660171,2024,6148590,671708,7462820,4105164,750106
FIN000342,3174015206660171,2025,9413857,1122640,11882373,6192402,1036598
FIN000343,3671016412750172,2024,12219313,109099,14745229,9329992,128513
FIN000344,3671016412750172,2025,13344631,131863,15113428,9989688,135246
FIN000345,3671012711900173,2024,7321230,625529,11351578,6705903,639793
FIN000346,3671012711900173,2025,7238121,716675,9943745,5567315,860894
FIN000347,3671013001930174,2024,31403016,5017032,59640354,29395321,5164695
FIN000348,3671013001930174,2025,42079365,6758745,75962637,34526852,6004306
FIN000349,3276014411980175,2024,82529543,6558645,160766655,95723978,8304784
FIN000350,3276014411980175,2025,101041691,9698084,177079571,80282517,10036760
FIN000351,3173016311750176,2024,81918417,15683356,133539426,70465256,21662205
FIN000352,3173016311750176,2025,104789447,21311566,131907847,57166801,25721889
FIN000353,3671010704680177,2024,22108834,3861648,28075535,16926529,5337123
FIN000354,3671010704680177,2025,21630561,3619539,24034145,5673168,3405350
FIN000355,3671010307980178,2024,41817000,4611117,81586176,32337598,5886505
FIN000356,3671010307980178,2025,24811145,2489869,32721487,21779049,2379594
FIN000357,3674016711850179,2024,24224278,3968218,45251837,21499792,5518953
FIN000358,3674016711850179,2025,31538733,5423547,45310263,26356164,5998109
FIN000359,3175012710890180,2024,24948708,3391646,47027556,18891604,2830079
FIN000360,3175012710890180,2025,30262921,4168621,54110304,12791716,5263075
FIN000361,3671015807760181,2024,11893225,689562,21688325,5430637,741716
FIN000362,3671015807760181,2025,14051789,888077,27351249,15552815,784659
FIN000363,3671010307880182,2024,20993181,2725494,25524352,17018135,3139015
FIN000364,3671010307880182,2025,23413243,3626421,29418255,13912416,3140233
FIN000365,3671012809810183,2024,35866268,3561112,41915413,17897565,3560531
FIN000366,3671012809810183,2025,40613470,4211092,46468648,29354140,5146709
FIN000367,3671011201890184,2024,14319902,1277571,22890609,8524207,1056143
FIN000368,3671011201890184,2025,13358102,944688,21885227,9991805,1185173
FIN000369,3671012707010185,2024,16027926,1895152,31764347,19000637,1890307
FIN000370,3671012707010185,2025,21607513,2460409,28349455,12927330,3017532
FIN000371,3174011203690186,2024,17813215,3252979,21278828,5772464,3391217
FIN000372,3174011203690186,2025,14302216,2525347,24667993,9454297,3075784
FIN000373,3671012005900187,2024,18183865,1052810,21424127,8189062,1363343
FIN000374,3671012005900187,2025,19301025,1346287,36211160,7906779,1879542
FIN000375,3671015701730188,2024,27875365,3450956,43570545,9827113,3997870
FIN000376,3671015701730188,2025,37263355,3908553,47924029,13957897,4438391
FIN000377,3671012103820189,2024,23299996,1492953,27368411,16040854,1633602
FIN000378,3671012103820189,2025,19050494,1015830,30393738,9131286,1222718
FIN000379,3671011309990190,2024,29247251,4896095,49411639,22031887,6426298
FIN000380,3671011309990190,2025,38560033,6463699,69546029,46680274,8969420
FIN000381,3671014511680191,2024,12740526,1260686,22178639,13870916,1762274
FIN000382,3671014511680191,2025,12801231,1497002,18460463,5228868,2079422
FIN000383,3174016703650192,2024,19705631,3205845,23373735,7698373,4200142
FIN000384,3174016703650192,2025,16578513,2685005,33037991,17245559,2636259
FIN000385,3671016008690193,2024,29538218,3828077,42316330,28252650,3152704
FIN000386,3671016008690193,2025,33508849,5097117,47310360,24748148,4573815
FIN000387,3172016211750194,2024,24080081,488239,35894824,14465479,556019
FIN000388,3172016211750194,2025,25567045,559503,35686192,18019684,752579
FIN000389,3271012211830195,2024,30960242,1951748,53806646,26856347,1683672
FIN000390,3271012211830195,2025,27773170,1899763,31575407,10041053,2221632
FIN000391,3175012104650196,2024,20479164,2075134,35842923,14529917,2529747
