rm_id,rm_name,branch_name,region,jabatan,level,kapasitas_max_nasabah,join_date
RM0018,Nina Gunawan,KCP Melawai,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,12,2025-12-12
RM0019,Fajar Susanto,KCP Melawai,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,15,2025-02-28
RM0020,Fauzi Handoko,KCP Melawai,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,10,2018-06-20
RM0021,Wahyu Susanto,KCP Melawai,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,13,2017-09-25
RM0022,Agus Hidayat,KCP Kyai Maja,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,22,2017-03-03
RM0023,Wulan Kusuma,KCP Kyai Maja,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,9,2022-09-17
RM0024,Ayu Saputra,KCP Kyai Maja,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,18,2023-11-23
RM0025,Doni Simanjuntak,KCP Blok M,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,10,2023-09-18
RM0026,Ayu Setiawan,KCP Blok M,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,12,2023-10-28
RM0027,Dian Pratama,KCP Blok M,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,24,2022-07-13
RM0028,Desi Saputra,KCP Fatmawati,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,13,2020-04-05
RM0029,Rizky Siregar,KCP Fatmawati,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,20,2016-09-15
RM0030,Yanti Susanto,KCP Fatmawati,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,9,2016-05-15
RM0031,Krisna Kurniawan,KCP Fatmawati,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,16,2016-04-11
RM0032,Nina Tanjung,KCP Pondok Indah,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,17,2021-10-25
RM0033,Retno Situmorang,KCP Pondok Indah,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,16,2019-03-16
RM0034,Tri Halim,KCP Pondok Indah,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,14,2017-03-13
RM0035,Andi Suryadi,KCP Pondok Indah,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,13,2015-06-17
RM0036,Indah Tanjung,KCP Pondok Indah,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,20,2025-02-10
RM0037,Andi Suryadi,KCP Cilandak,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,9,2017-02-12
RM0038,Wulan Wibowo,KCP Cilandak,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,23,2025-06-08
RM0039,Desi Hutapea,KCP Cilandak,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,15,2025-12-02
RM0040,Hadi Firmansyah,KCP Pasar Minggu,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,16,2017-11-12
RM0041,Retno Nugroho,KCP Pasar Minggu,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,12,2018-11-23
RM0042,Kartika Firmansyah,KCP Pasar Minggu,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,17,2025-05-04
RM0043,Rudi Rahman,KCP Pasar Minggu,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,6,2019-07-23
RM0044,Yusuf Kusuma,KCP Pasar Minggu,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,18,2015-05-23
RM0045,Fitri Rahman,KCP Prof. Supomo Tebet,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,12,2015-01-24
RM0046,Sri Wijaya,KCP Prof. Supomo Tebet,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,17,2025-11-21
RM0047,Sutrisno Rahman,KCP Prof. Supomo Tebet,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,18,2020-11-06
RM0048,Indah Simanjuntak,KCP Prof. Supomo Tebet,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,15,2018-04-11
RM0049,Dian Siregar,KCP Prof. Supomo Tebet,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,24,2021-01-05
RM0050,Yuni Suryadi,KCP Prof. Supomo Tebet,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,15,2023-03-20
RM0051,Dedi Setiawan,KCP Prof. Supomo Tebet,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,8,2022-08-08
RM0052,Novi Setiawan,KCP Tebet Barat,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,16,2021-12-10
RM0053,Retno Firmansyah,KCP Tebet Barat,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,17,2021-09-18
RM0054,Fauzi Setiawan,KCP Tebet Barat,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,12,2020-07-15
RM0055,Dewi Saputra,KCP Tebet Barat,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,25,2015-05-21
RM0056,Maya Wibowo,KC Harmoni,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,11,2017-10-02
RM0057,Andi Hutapea,KC Harmoni,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,19,2021-03-09
RM0058,Ratna Nugroho,KC Harmoni,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,9,2017-04-21
RM0059,Rita Wijaya,KC Harmoni,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,20,2023-04-08
RM0060,Siti Nugroho,KC Harmoni,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,20,2016-07-04
RM0061,Ahmad Siregar,KC Harmoni,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,8,2019-11-24
RM0062,Fitri Kurniawan,KC Harmoni,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,11,2023-12-16
RM0063,Rian Siregar,KC Gambir,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,11,2025-01-28
RM0064,Anggi Firmansyah,KC Gambir,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,17,2016-06-27
RM0065,Eko Rahman,KC Gambir,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,16,2020-01-26
RM0066,Wahyu Susanto,KC Gambir,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,9,2016-05-28
RM0067,Ika Wibowo,KC Gambir,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,14,2020-05-07
RM0068,Rian Hidayat,KC Gambir,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,8,2023-11-25
RM0069,Joko Santoso,KC Gambir,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,8,2024-11-12
RM0070,Dimas Saputra,KC Menteng,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,10,2020-01-29
RM0071,Yudi Susanto,KC Menteng,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,11,2015-01-29
RM0072,Rian Tanjung,KC Menteng,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,12,2018-11-12
RM0073,Fajar Halim,KC Menteng,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,17,2021-08-19
RM0074,Ika Suryadi,KC Menteng,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,8,2023-08-07
RM0075,Novi Tanjung,KC Menteng,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,9,2018-02-22
RM0076,Tri Nugroho,KC Menteng,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,5,2024-10-19
RM0077,Rudi Firmansyah,KC Pecenongan,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,10,2021-02-12
RM0078,Gunawan Rahman,KC Pecenongan,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,16,2024-08-06
RM0079,Krisna Setiawan,KC Pecenongan,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,16,2018-05-17
RM0080,Siti Lubis,KC Pecenongan,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,13,2021-09-24
RM0081,Dedi Rahman,KC Pecenongan,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,14,2025-11-03
RM0082,Andi Susanto,KC Pecenongan,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,15,2021-08-09
RM0083,Wati Lubis,KC Pecenongan,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,16,2015-08-03
RM0084,Yudi Rahman,KC Pecenongan,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,12,2020-02-08
RM0085,Rian Saputra,KCP Gajah Mada,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,17,2024-06-17
RM0086,Andi Simanjuntak,KCP Gajah Mada,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,11,2017-01-12
RM0087,Bayu Lubis,KCP Gajah Mada,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,15,2017-10-29
RM0088,Yanti Suryadi,KCP Menteng Raya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,18,2025-09-13
RM0089,Taufik Wijaya,KCP Menteng Raya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,10,2015-08-05
RM0090,Indah Halim,KCP Menteng Raya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,16,2020-05-14
RM0091,Yuni Permana,KCP Menteng Raya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,18,2025-12-06
RM0092,Wahyu Setiawan,KCP Menteng Raya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,11,2017-01-06
RM0093,Yusuf Siregar,KCP Menteng Raya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,13,2024-03-13
RM0094,Yusuf Saputra,KCP Menteng Raya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,15,2019-11-17
RM0095,Indah Susanto,KCP Menteng Raya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,14,2015-08-25
RM0096,Sutrisno Panjaitan,KCP Cikini,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,14,2017-10-12
RM0097,Fajar Hidayat,KCP Cikini,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,18,2024-12-24
RM0098,Agus Hidayat,KCP Cikini,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,14,2020-04-29
RM0099,Gunawan Panjaitan,KCP Cikini,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,15,2017-09-22
RM0100,Agus Kurniawan,KCP Cikini,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,25,2018-08-29
RM0101,Wati Tanjung,KCP Cikini,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,9,2021-08-21
RM0102,Yusuf Santoso,KCP Cikini,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,8,2015-01-31
RM0103,Maya Santoso,KCP Pluit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,9,2023-12-03
RM0104,Krisna Permana,KCP Pluit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,19,2020-03-20
RM0105,Desi Susanto,KCP Pluit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,13,2019-05-24
RM0106,Rina Siregar,KCP Pluit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,22,2024-03-06
RM0107,Dewi Situmorang,KCP Pluit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,11,2022-11-12
RM0108,Krisna Gunawan,KCP Pluit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,25,2015-04-27
RM0109,Krisna Suryadi,KCP Pluit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,17,2015-04-11
RM0110,Irfan Tanjung,KCP Pluit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,8,2021-03-18
RM0111,Hendra Panjaitan,KC Kelapa Gading,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,9,2019-12-11
RM0112,Slamet Setiawan,KC Kelapa Gading,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,18,2025-06-01
RM0113,Suryani Santoso,KC Kelapa Gading,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,9,2015-07-27
RM0114,Fauzi Panjaitan,KCP Kelapa Gading Bukit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,13,2025-10-25
RM0115,Wulan Wijaya,KCP Kelapa Gading Bukit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,8,2017-11-15
RM0116,Dewi Hutapea,KCP Kelapa Gading Bukit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,10,2018-01-04
RM0117,Yudi Saputra,KCP Kelapa Gading Bukit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,11,2019-11-07
RM0118,Slamet Wijaya,KCP Kelapa Gading Bukit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,17,2020-12-31
RM0119,Hendra Rahman,KCP Kelapa Gading Bukit,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,10,2025-03-14
RM0120,Slamet Suryadi,KCP Sunter,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,15,2015-04-09
RM0121,Dian Suryadi,KCP Sunter,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,17,2023-04-13
RM0122,Putri Nugroho,KCP Sunter,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,13,2018-06-03
RM0123,Suryani Simanjuntak,KCP Sunter,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,11,2015-06-16
RM0124,Dewi Hutapea,KCP Sunter,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,11,2018-01-03
RM0125,Ayu Firmansyah,KCP Sunter,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,14,2016-07-20
RM0126,Dedi Lubis,KCP Daan Mogot,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,15,2015-05-06
RM0127,Dian Tanjung,KCP Daan Mogot,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,15,2019-01-20
RM0128,Andi Rahman,KCP Daan Mogot,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,21,2020-02-24
RM0129,Agus Setiawan,KCP Daan Mogot,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,23,2024-05-22
RM0130,Anggi Nugroho,KCP Daan Mogot,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,16,2021-11-25
RM0131,Irfan Setiawan,KCP Daan Mogot,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,9,2023-12-04
RM0132,Gunawan Wijaya,KCP Daan Mogot,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,16,2019-08-10
RM0133,Agus Tanjung,KCP Cengkareng,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,6,2018-10-12
RM0134,Fauzi Wijaya,KCP Cengkareng,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,16,2025-03-28
RM0135,Ayu Pratama,KCP Cengkareng,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,19,2025-08-27
RM0136,Joko Situmorang,KCP Cengkareng,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,10,2018-10-01
RM0137,Krisna Saputra,KCP Cengkareng,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,25,2025-01-05
RM0138,Nina Hidayat,KCP Kedoya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,14,2022-10-20
RM0139,Indah Hidayat,KCP Kedoya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,6,2023-03-16
RM0140,Bambang Lubis,KCP Kedoya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,12,2024-09-06
RM0141,Suryani Situmorang,KCP Kedoya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,14,2025-05-06
RM0142,Dedi Saputra,KCP Kedoya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,10,2020-04-01
RM0143,Irfan Nugroho,KCP Kedoya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,10,2021-11-28
RM0144,Dimas Tanjung,KCP Kedoya,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,20,2017-02-05
RM0145,Ratna Permana,KCP Kebon Jeruk,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,22,2025-02-15
RM0146,Agus Rahman,KCP Kebon Jeruk,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,23,2020-12-07
RM0147,Anton Permana,KCP Kebon Jeruk,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,6,2015-10-03
RM0148,Wati Situmorang,KCP Kebon Jeruk,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,17,2023-02-05
RM0149,Dedi Permana,KCP Kebon Jeruk,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,5,2017-09-15
RM0150,Joko Panjaitan,KCP Kebon Jeruk,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,15,2024-05-29
RM0151,Fauzi Wijaya,KCP Kebon Jeruk,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,10,2023-06-22
RM0152,Iwan Gunawan,KCP Puri Indah,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,15,2023-08-01
RM0153,Eko Nugroho,KCP Puri Indah,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,13,2025-06-17
RM0154,Anggi Wibowo,KCP Puri Indah,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,24,2020-01-09
RM0155,Sutrisno Gunawan,KCP Puri Indah,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Junior RB,7,2016-11-28
RM0156,Fajar Handoko,KCP Puri Indah,Kantor Wilayah 12 Jakarta Kota,Relationship Banking Officer,Senior RB,18,2015-11-24
RM0157,Iwan Panjaitan,KC BSD,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,11,2016-04-29
RM0158,Wahyu Setiawan,KC BSD,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,7,2017-10-05
RM0159,Krisna Permana,KC BSD,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,6,2015-04-23
RM0160,Yusuf Rahman,KC BSD,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,17,2017-09-05
RM0161,Maya Firmansyah,KC BSD,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,15,2021-09-28
RM0162,Desi Santoso,KCP Tangerang Kota,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,16,2022-12-26
RM0163,Irfan Situmorang,KCP Tangerang Kota,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,17,2023-07-30
RM0164,Yusuf Santoso,KCP Tangerang Kota,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,9,2015-04-16
RM0165,Wahyu Setiawan,KCP Karawaci,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,10,2021-01-20
RM0166,Fauzi Siregar,KCP Karawaci,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,17,2023-02-26
RM0167,Lestari Firmansyah,KCP Karawaci,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,20,2022-08-12
RM0168,Rina Tanjung,KCP Karawaci,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,16,2015-04-26
RM0169,Dedi Saputra,KCP Karawaci,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,17,2018-02-04
RM0170,Rian Suryadi,KCP Karawaci,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,23,2024-03-18
RM0171,Kartika Setiawan,KCP Karawaci,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,15,2015-10-12
RM0172,Fitri Simanjuntak,KCP Cipondoh,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,19,2016-05-20
RM0173,Slamet Santoso,KCP Cipondoh,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,5,2024-02-22
RM0174,Rudi Firmansyah,KCP Cipondoh,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,11,2025-11-21
RM0175,Putri Kusuma,KCP Cipondoh,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,15,2021-10-25
RM0176,Hadi Simanjuntak,KCP Cipondoh,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,17,2017-06-20
RM0177,Ani Setiawan,KCP Serpong,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,8,2019-03-25
RM0178,Hendra Lubis,KCP Serpong,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,17,2019-10-05
RM0179,Tri Santoso,KCP Serpong,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,12,2023-03-02
RM0180,Indah Suryadi,KCP Serpong,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,15,2017-03-13
RM0181,Putri Pratama,KCP Serpong,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,12,2020-07-14
RM0182,Kartika Pratama,KCP Serpong,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,12,2020-12-04
RM0183,Irfan Susanto,KCP Serpong,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,18,2021-01-02
RM0184,Anggi Situmorang,KCP Serpong,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,6,2022-05-17
RM0185,Sutrisno Wijaya,KCP Ciputat,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,17,2018-04-24
RM0186,Lestari Wibowo,KCP Ciputat,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,14,2016-05-11
RM0187,Doni Panjaitan,KCP Ciputat,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Senior RB,13,2022-08-21
RM0188,Lina Simanjuntak,KCP Ciputat,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,10,2024-10-17
RM0189,Dewi Handoko,KCP Bintaro,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,18,2023-04-17
RM0190,Retno Siregar,KCP Bintaro,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,13,2023-02-15
RM0191,Dedi Siregar,KCP Bintaro,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,9,2022-10-01
RM0192,Sari Lubis,KCP Bintaro,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,5,2023-12-02
RM0193,Siti Wibowo,KCP Bintaro,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,17,2016-06-09
RM0194,Iwan Pratama,KCP Bintaro,Kantor Wilayah 14 Jakarta BSD,Relationship Banking Officer,Junior RB,14,2025-08-10
