account_id,NIK,account_number,bank_name,account_type,account_status,opened_date,average_balance_6m,average_monthly_credit,average_monthly_debit,transaction_frequency_monthly,overdraft_count_6m,current_balance
ACC000047,3175012901750037,4857606442,Bank OCBC NISP,Giro,Dormant,2015-01-17,6910702,986756,900473,140,0,1191634
ACC000048,3175012901750037,8378851670,Bank OCBC NISP,Giro,Aktif,2021-04-27,12791362,1157904,926593,168,0,7830162
ACC000049,3671016303970038,4809100560,Bank BNI,Tabungan,Aktif,2020-06-22,20979956,1005472,779887,94,0,8508335
ACC000050,3671010304670039,2282320947,Bank Permata,Giro,Aktif,2025-03-16,22567640,1472933,1098858,160,0,35663986
ACC000051,3671015003850040,5596944531,Bank BRI,Tabungan,Aktif,2022-10-12,32002409,1784890,1360454,36,0,33190500
ACC000052,3671015003850040,1125819554,Bank BNI,Tabungan,Aktif,2016-08-21,51044224,2407063,1823431,94,1,77682133
ACC000053,3276015003770041,1006595207,Bank OCBC NISP,Giro,Aktif,2017-05-24,8209639,1332084,1221807,147,0,12056231
ACC000054,3271010505890042,7778733597,Bank Panin,Tabungan,Aktif,2015-01-12,46191774,3156187,2541945,56,0,74216678
ACC000055,3271015910980043,7186197238,BNI,Giro,Aktif,2018-07-18,10018557,919489,679589,191,0,8523101
ACC000056,3271014201950044,3867161524,Bank BNI,Giro,Aktif,2017-12-31,71759683,3087456,2354100,178,0,48173163
ACC000057,3173012502730045,2218240632,Bank Mandiri,Giro,Aktif,2025-05-10,14912302,6853882,6661924,25,1,-476243
ACC000058,3275014502860046,5101654203,Bank Panin,Giro,Aktif,2024-02-05,9599305,362028,260881,36,0,11990561
ACC000059,3172010211710047,1612813917,BNI,Giro,Aktif,2019-07-13,6068014,520047,414651,165,0,7239898
ACC000060,3671016211990048,8960270821,BNI,Giro,Aktif,2021-08-08,18003593,1679035,1406086,74,0,29352027
ACC000061,3671016211990048,8430302706,BPR Mitra Usaha,Tabungan,Aktif,2016-08-25,8516385,1634105,1491285,66,0,13276105
ACC000062,3172016512950049,3134213341,Bank Panin,Giro,Aktif,2016-03-17,4608683,2745586,2690115,196,0,5047196
ACC000063,3172015801940050,3341407877,Bank BRI,Tabungan,Aktif,2017-02-09,21931236,3554308,3009862,23,0,12539566
ACC000064,3671011808920051,2962483023,Bank BNI,Giro,Aktif,2024-11-18,1196686,558953,545661,75,0,1317321
ACC000065,3173016507900052,9550185091,Bank CIMB Niaga,Giro,Aktif,2023-11-10,13581892,1090635,883963,173,0,22916462
ACC000066,3173016507900052,3359299415,Bank Permata,Tabungan,Aktif,2022-09-09,20709625,1466323,1229553,109,1,27827644
ACC000067,3671014712890053,8343588949,Bank OCBC NISP,Tabungan,Dormant,2021-03-20,3563073,2515776,2450691,173,1,647699
ACC000068,3671014712890053,9417901370,Bank BNI,Tabungan,Aktif,2019-09-02,41780206,3038491,2255464,64,2,56898531
ACC000069,3674016707000054,8110260862,Bank BNI,Giro,Aktif,2016-11-30,2728249,413885,349007,188,0,3475435
ACC000070,3674015806980055,1815863960,Bank OCBC NISP,Tabungan,Aktif,2017-11-06,80545738,3678088,2717336,192,0,77522552
ACC000071,3671014508730056,2437505980,Bank BNI,Tabungan,Aktif,2018-02-15,22645232,1403687,1027328,101,0,21723786
ACC000072,3275010510960057,9417331350,Bank Mandiri,Tabungan,Aktif,2018-04-13,19485981,1693213,1380956,29,1,31848313
ACC000073,3671012101860058,5890648673,Bank CIMB Niaga,Tabungan,Aktif,2025-04-04,13151735,2351779,2113239,68,0,17072762
ACC000074,3671012101860058,9525823791,Bank Danamon,Giro,Aktif,2025-03-25,39486669,3074327,2471914,196,0,61427474
ACC000075,3671016210710059,5939771307,Bank CIMB Niaga,Giro,Aktif,2015-12-08,14249363,915010,736075,135,0,15727780
ACC000076,3671016210710059,5596418558,BPR Mitra Usaha,Giro,Dormant,2024-02-02,7021152,705308,634507,93,1,1104378
ACC000077,3674015309780060,1431733973,BPR Mitra Usaha,Tabungan,Aktif,2022-11-22,2420444,1207481,1175961,123,0,3336123
ACC000078,3171011302650061,3381820614,Bank Mandiri,Tabungan,Aktif,2015-08-05,5170851,3247805,3151869,76,0,7096511
ACC000079,3175014405000062,7254769057,Bank BCA,Giro,Aktif,2015-04-05,11932291,847055,594918,74,0,8439266
ACC000080,3175014405000062,8798760338,Bank Panin,Giro,Aktif,2019-08-02,5206436,790175,695319,107,0,8839011
ACC000081,3671011309840063,4151673958,Bank Mandiri,Tabungan,Dormant,2021-04-16,26110421,2093875,1750445,155,2,2478786
ACC000082,3173015312970064,6459961477,Bank BCA,Giro,Aktif,2016-10-02,22738913,1015251,737333,94,0,30048201
ACC000083,3173015204880065,5497503906,Bank BRI,Giro,Dormant,2023-10-16,40610730,4970615,4018639,108,0,4973637
ACC000084,3671016406030066,2340052004,BNI,Giro,Aktif,2018-02-25,92210799,3599911,2558056,141,0,73224766
ACC000085,3671016406030066,2103226166,Bank BCA,Tabungan,Aktif,2023-05-18,36149016,3262078,2493620,73,3,48849727
ACC000086,3271015503700067,2276027271,BPR Mitra Usaha,Tabungan,Dormant,2023-12-11,8031189,1001579,848353,102,0,856701
ACC000087,3674014302990068,6972457656,Bank BCA,Tabungan,Aktif,2023-05-10,19591379,1604902,1259866,22,1,28480212
ACC000088,3671010311960069,9267401856,Bank BCA,Tabungan,Aktif,2023-11-16,20687435,4107352,3801593,117,0,18784520
ACC000089,3173016202970070,4355813211,Bank Permata,Giro,Dormant,2015-10-07,5001837,931248,806275,43,0,1183599
ACC000090,3173016202970070,3108026561,Bank Danamon,Giro,Aktif,2018-06-18,25594438,1101719,798822,151,1,19748451
ACC000091,3671015802680071,6442659483,Bank BCA,Giro,Aktif,2017-05-13,536777,311350,299281,137,0,763815
ACC000092,3674016506800072,7197265229,Bank BNI,Tabungan,Aktif,2020-05-01,35043396,6319613,5925973,136,1,24733170
ACC000093,3275015104790073,9904756740,Bank Panin,Giro,Aktif,2022-06-25,1519825,857816,835371,83,0,2251930
ACC000094,3172010107850074,3048191671,Bank BNI,Giro,Aktif,2024-07-25,13943357,897405,698326,180,0,24028616
ACC000095,3172010107850074,3692727308,Bank BNI,Giro,Aktif,2016-01-10,5847997,1084946,942970,80,0,6399808
ACC000096,3674015703790075,5721292149,BNI,Tabungan,Aktif,2022-05-11,10934520,942398,669432,118,0,9181102
ACC000097,3674015703790075,3546896384,Bank Permata,Giro,Aktif,2017-02-24,11708982,1095636,818793,198,0,9311329
ACC000098,3275010902990076,7716124296,Bank BCA,Tabungan,Aktif,2016-04-14,3206118,773789,696649,103,0,3319324
ACC000099,3275010902990076,2138161377,Bank BNI,Tabungan,Aktif,2015-08-21,33177004,1145769,811567,157,0,43010433
ACC000100,3276015512750077,9159090503,BPR Mitra Usaha,Giro,Aktif,2016-06-09,8756216,1422117,1230859,163,0,14768106
ACC000101,3171014809850078,4569226393,Bank CIMB Niaga,Tabungan,Aktif,2023-12-15,19051751,2758446,2505507,34,0,27558867
ACC000102,3171014809850078,5712724787,Bank BNI,Giro,Aktif,2023-11-25,17298590,2034210,1855626,198,0,28220658
ACC000103,3671013008930079,5416434467,Bank OCBC NISP,Tabungan,Aktif,2024-03-22,35154928,1284757,908541,186,0,51409492
ACC000104,3271011405960080,5995208970,Bank Mandiri,Tabungan,Aktif,2017-06-28,18555897,1362309,1063191,89,0,18603202
ACC000105,3671016910740081,8031582771,Bank CIMB Niaga,Tabungan,Aktif,2018-06-14,15260517,565176,408493,80,0,26474467
ACC000106,3172015405810082,2694720630,Bank Panin,Tabungan,Aktif,2015-11-22,8190097,549709,427661,158,0,10236276
ACC000107,3172015405810082,1386545230,BNI,Tabungan,Aktif,2017-04-29,13823693,689660,547015,47,0,14300393
ACC000108,3674014603010083,6330077957,Bank Permata,Tabungan,Aktif,2022-02-20,10733855,1567711,1446483,145,0,14491099
ACC000109,3175016601890084,8354842828,Bank Panin,Tabungan,Aktif,2021-09-13,33598814,3626737,3158290,182,0,48880575
ACC000110,3175016601890084,7303196276,Bank Danamon,Tabungan,Aktif,2018-12-29,20786504,3185546,2790442,71,0,24941385
ACC000111,3671011405920085,7092745048,Bank Danamon,Tabungan,Aktif,2020-07-24,7413884,3089784,2955504,101,0,7982451
ACC000112,3674011803700086,6914731030,Bank Permata,Tabungan,Aktif,2021-06-13,18157695,1388603,1000630,56,0,30494710
ACC000113,3671012605020087,4068427264,Bank BRI,Tabungan,Dormant,2022-11-17,3667757,1875053,1796214,184,0,555965
ACC000114,3671012605020087,3192185544,Bank Danamon,Tabungan,Aktif,2025-03-14,35830166,2347544,1930633,182,0,41321887
ACC000115,3175010406890088,1051967319,Bank BCA,Tabungan,Aktif,2023-09-25,19296590,1845508,1470052,26,0,33022229
ACC000116,3175010406890088,1609085335,Bank Mandiri,Tabungan,Aktif,2022-11-13,10037824,1663657,1558900,180,0,17522110
ACC000117,3171012004000089,2516737575,Bank BCA,Tabungan,Aktif,2023-02-03,27185909,3209525,2795565,76,0,35682377
ACC000118,3171012004000089,9581301791,BPR Mitra Usaha,Giro,Aktif,2016-05-06,23683959,2805699,2532756,44,0,23672020
ACC000119,3172013003760090,6609932785,Bank Mandiri,Giro,Dormant,2015-03-08,62482267,4124576,2980923,97,0,4932507
ACC000120,3172013003760090,3206291184,Bank CIMB Niaga,Giro,Aktif,2024-05-19,16454300,2816285,2623993,38,0,8873694
ACC000121,3171011004980091,5521650439,Bank OCBC NISP,Giro,Aktif,2023-07-28,8611480,910593,719956,59,0,7114277
ACC000122,3671015608970092,3407535986,Bank Danamon,Tabungan,Aktif,2015-11-06,16512440,1152877,908729,121,0,6835289
ACC000123,3671015608970092,8574626241,Bank Danamon,Giro,Aktif,2018-08-14,11039883,1040425,840085,84,0,17524632
ACC000124,3174015406790093,9957607832,Bank BRI,Tabungan,Aktif,2019-08-18,1453593,1117559,1094032,149,0,1036685
ACC000125,3275017007000094,2517950277,Bank Panin,Tabungan,Dormant,2021-06-19,20701172,1805749,1559408,76,0,1695115
ACC000126,3674016309970095,4228712244,BNI,Tabungan,Aktif,2020-02-23,33376863,1481472,1115823,91,0,36341384
ACC000127,3674016309970095,2097519319,BNI,Giro,Aktif,2020-08-01,12513585,1159785,872454,122,0,16204181
ACC000128,3173010205690096,2537271050,Bank Panin,Tabungan,Aktif,2015-08-30,14114751,1069511,868936,186,0,6443060
ACC000129,3275016611770097,5114209952,Bank CIMB Niaga,Tabungan,Aktif,2025-02-15,17096581,1565813,1195880,94,0,9887817
ACC000130,3275016611770097,9428190108,Bank Mandiri,Giro,Aktif,2025-03-19,5622321,1184727,1100274,109,0,9803845
ACC000131,3271012602700098,2182146717,Bank BCA,Tabungan,Aktif,2016-12-18,11014239,739026,612361,24,0,13812570
ACC000132,3671013003800099,4513335170,BPR Mitra Usaha,Tabungan,Aktif,2021-07-27,14242273,1285680,974861,57,0,24299219
ACC000133,3173010111830100,2380042073,Bank BRI,Giro,Aktif,2016-08-16,28675038,1832782,1520692,49,0,19935896
ACC000134,3671012703950101,5710669202,Bank CIMB Niaga,Tabungan,Aktif,2021-06-11,28560523,1309114,984887,82,0,43425152
ACC000135,3671012703950101,4330087905,Bank BNI,Giro,Aktif,2021-10-24,39154265,1334197,940091,63,0,23682555
ACC000136,3671016606800102,8277840860,Bank Mandiri,Tabungan,Aktif,2019-05-23,3098500,1026899,989035,85,0,3932747
ACC000137,3671010605650103,6746974343,Bank BRI,Tabungan,Aktif,2024-02-01,2095612,1271302,1243922,114,0,3197936
ACC000138,3171016101820104,1197868306,Bank OCBC NISP,Giro,Aktif,2016-03-23,35370326,1621968,1202903,168,0,22468243
ACC000139,3171016101820104,8069047589,BNI,Giro,Aktif,2016-06-15,40524722,1872517,1466605,194,0,21384061
ACC000140,3175017010900105,3353364908,BPR Mitra Usaha,Giro,Aktif,2016-09-11,7594704,568237,400154,92,0,9911626
ACC000141,3175017010900105,8275113316,Bank BRI,Giro,Dormant,2019-06-14,2946046,534729,477934,38,0,429558
ACC000142,3271015412680106,6527386286,Bank Panin,Giro,Aktif,2020-04-08,13515902,1790053,1505320,145,0,15587344
ACC000143,3175015412990107,3489125284,Bank Mandiri,Tabungan,Aktif,2018-10-16,8485397,577131,467751,36,2,13457472
ACC000144,3276011310720108,5609609930,Bank OCBC NISP,Giro,Aktif,2024-10-22,22946531,1566969,1141852,56,0,29642723
ACC000145,3276011310720108,1271435542,Bank BNI,Tabungan,Aktif,2021-03-15,31518556,1492170,1126756,57,0,49276612
ACC000146,3276016309840109,6058342973,Bank Mandiri,Giro,Aktif,2020-07-14,34811077,2178950,1769252,71,2,62121453
ACC000147,3275012207670110,6302324739,BNI,Giro,Aktif,2016-05-15,109137595,8440817,6648062,100,3,80597047
ACC000148,3275012207670110,2610138327,Bank OCBC NISP,Tabungan,Aktif,2018-12-04,61009750,7449384,6725229,30,0,98095801
ACC000149,3671014406790111,6171588845,Bank CIMB Niaga,Tabungan,Aktif,2025-05-24,5891906,2035692,1940646,194,0,5081861
ACC000150,3671014406790111,2981555412,Bank Mandiri,Giro,Aktif,2022-06-13,44506791,2518133,1795160,114,0,68039266
ACC000151,3671011709840112,1460677455,Bank Mandiri,Giro,Aktif,2024-01-04,25154659,1202156,945895,133,0,17163487
ACC000152,3671011709840112,4343336925,Bank BCA,Tabungan,Dormant,2017-03-21,6844101,1053510,954328,147,0,581601
ACC000153,3172014706950113,8156995630,Bank Danamon,Tabungan,Aktif,2016-06-08,77867005,4288938,3194227,24,1,73857160
ACC000154,3172014706950113,1765941307,Bank CIMB Niaga,Giro,Dormant,2021-08-23,43477512,4800022,4335310,73,1,2883200
ACC000155,3671015410700114,8988871886,BNI,Tabungan,Aktif,2015-01-10,5751067,415642,355522,115,0,10018315
ACC000156,3175014911780115,9362658287,Bank Danamon,Giro,Aktif,2022-10-19,7088134,758456,653010,88,0,6052174
ACC000157,3175014911780115,1563158711,Bank CIMB Niaga,Tabungan,Aktif,2021-09-07,7276572,651113,574899,64,0,4089563
ACC000158,3671015109940116,7691077708,Bank BNI,Tabungan,Aktif,2019-03-05,64583529,3541380,2855057,162,0,48160447
ACC000159,3276014412840117,6154353092,BNI,Giro,Aktif,2020-05-18,3315551,803379,723225,176,0,1665598
ACC000160,3674014807990118,3943076045,Bank CIMB Niaga,Giro,Aktif,2017-05-14,1611388,791604,775350,55,0,1910238
ACC000161,3271015611890119,7965969676,Bank Mandiri,Tabungan,Aktif,2018-12-05,7838744,1207711,1066725,30,0,11848305
ACC000162,3171012008010120,9716177129,BNI,Tabungan,Aktif,2022-06-09,6389793,650847,520198,46,3,6127808
ACC000163,3174015904790121,6797503233,Bank CIMB Niaga,Giro,Dormant,2018-10-08,116030665,9587165,8312633,86,0,24012619
ACC000164,3174014811650122,9412129769,Bank BNI,Giro,Aktif,2020-09-04,5951746,920635,830616,115,0,5880246
ACC000165,3173017008930123,2613654441,Bank BCA,Giro,Aktif,2024-12-31,8821028,2790148,2648583,99,0,3613929
ACC000166,3173017008930123,7533422978,Bank Panin,Giro,Aktif,2025-05-06,15307303,3376683,3208431,126,0,14856249
ACC000167,3172012910800124,2452012874,Bank Permata,Giro,Aktif,2015-06-21,21483776,2394586,2020565,140,0,12077471
ACC000168,3172012910800124,3561463935,Bank Permata,Giro,Aktif,2021-05-05,11788742,2731789,2599632,135,0,7150263
ACC000169,3173017009810125,7566326190,Bank Danamon,Giro,Aktif,2019-05-04,17701938,2333322,1950547,51,0,10595267
ACC000170,3271016906010126,7124963070,Bank Permata,Giro,Aktif,2016-02-05,6318654,621454,504490,180,0,5174646
ACC000171,3271016906010126,7524339177,Bank BRI,Giro,Aktif,2021-02-09,18069816,906751,658361,140,0,15580087
ACC000172,3171011811660127,7774680797,Bank CIMB Niaga,Tabungan,Aktif,2020-06-27,11982488,1204191,1002381,51,0,14533389
ACC000173,3175014404770128,1099248093,BPR Mitra Usaha,Giro,Aktif,2017-01-13,10225728,1572377,1393599,140,0,17462389
ACC000174,3275015308970129,5653629394,Bank BRI,Tabungan,Aktif,2021-10-25,2217429,830243,797563,139,0,2711447
ACC000175,3674015301920130,4188941650,Bank Panin,Giro,Aktif,2021-05-23,15634948,2624730,2434305,82,0,24717505
ACC000176,3173015904810131,2114846087,Bank Permata,Giro,Aktif,2020-09-27,30369150,1458994,1111824,74,0,53753191
ACC000177,3671016202920132,4316711676,Bank OCBC NISP,Giro,Aktif,2023-08-14,6059822,1814751,1706414,37,0,6893514
ACC000178,3671015303760133,7084569898,Bank Panin,Tabungan,Aktif,2015-02-26,6271969,1625144,1515981,116,0,3407835
ACC000179,3172016310770134,2262181814,Bank BCA,Tabungan,Aktif,2018-02-27,65473160,3469878,2670254,106,2,-346039
ACC000180,3172016310770134,6605057142,Bank Permata,Giro,Aktif,2019-04-25,22052201,2954358,2407858,97,0,28366627
ACC000181,3271013010960135,1337851281,Bank BRI,Tabungan,Aktif,2020-08-08,5068022,608326,516316,179,0,5530949
ACC000182,3171015307000136,5012449532,Bank Panin,Giro,Aktif,2018-01-03,8759292,2680455,2543462,35,0,12453376
ACC000183,3674013107880137,1561314363,Bank CIMB Niaga,Giro,Aktif,2019-07-21,2515952,1146912,1088290,57,0,1017477
ACC000184,3674013107880137,2341199634,Bank Panin,Giro,Aktif,2021-08-15,9076847,1001469,898080,25,2,12790659
ACC000185,3671014410700138,4433502144,BPR Mitra Usaha,Tabungan,Aktif,2015-04-19,22661236,2649922,2334075,84,0,26191253
ACC000186,3671014410700138,2813660149,Bank OCBC NISP,Giro,Aktif,2017-07-31,21523778,2517798,2233137,71,0,29147186
ACC000187,3276015007800139,3663679060,Bank Panin,Giro,Aktif,2021-07-25,16719412,2665007,2400550,115,0,20580778
ACC000188,3172011801910140,6564866180,Bank OCBC NISP,Tabungan,Aktif,2018-02-15,70348568,2935205,2062539,78,1,77265711
ACC000189,3275010505870141,6840713618,BPR Mitra Usaha,Giro,Dormant,2024-08-23,47960311,1871965,1342621,184,0,2459706
ACC000190,3674010111850142,6950837445,Bank Panin,Giro,Aktif,2020-04-28,36881777,1980529,1473634,192,0,48586414
ACC000191,3275013112760143,3217191639,BPR Mitra Usaha,Giro,Aktif,2021-10-18,36355055,3557652,3016071,37,2,36691765
ACC000192,3271010807730144,8046937518,Bank BNI,Tabungan,Aktif,2025-03-13,26989877,1611483,1144047,102,0,15588426
ACC000193,3171014303910145,4835769734,Bank Permata,Tabungan,Aktif,2016-05-26,34886418,2753136,2270795,81,0,45063910
ACC000194,3271010804990146,8417335599,Bank Panin,Giro,Aktif,2022-02-10,28444764,1504968,1173936,58,0,29014920
ACC000195,3271010801020147,2130838251,Bank BRI,Tabungan,Aktif,2018-05-03,4001033,499587,430450,146,0,2525595
ACC000196,3271010801020147,7208042902,Bank BCA,Giro,Aktif,2016-05-03,846260,435129,425298,108,2,511016
ACC000197,3275011301670148,9578765209,Bank BNI,Giro,Aktif,2023-03-25,14317537,658700,468021,117,0,22151058
ACC000198,3276015808820149,4321788893,Bank BNI,Tabungan,Aktif,2023-09-28,18362612,1043078,850362,139,0,19773641
ACC000199,3276015808820149,3993272840,Bank OCBC NISP,Giro,Aktif,2017-03-26,10807835,1093601,962101,164,0,15712928
ACC000200,3271016403950150,9968011872,Bank Panin,Tabungan,Aktif,2016-03-27,48260627,3619261,2808034,39,0,27354751
ACC000201,3172012003930151,5909867234,Bank OCBC NISP,Giro,Aktif,2022-08-28,17876711,1176494,847342,75,2,-110520
ACC000202,3172012003930151,4149605122,Bank Permata,Giro,Aktif,2022-03-02,19700168,995247,748049,26,0,19877477
ACC000203,3276017005830152,4634211163,Bank BNI,Tabungan,Aktif,2018-08-28,60041895,2724092,2087823,128,0,89203455
ACC000204,3271014407890153,7723417591,Bank Mandiri,Giro,Aktif,2016-03-23,12531584,889535,744455,41,0,6746999
ACC000205,3271014407890153,9210660829,Bank Permata,Tabungan,Aktif,2019-10-02,19534121,774689,557592,190,0,14289210
ACC000206,3276011812950154,4194070524,Bank Danamon,Tabungan,Aktif,2016-05-23,8149459,1170855,1036213,151,0,13647616
ACC000207,3276011812950154,8630958773,BNI,Tabungan,Aktif,2020-02-22,6614417,1220953,1122889,136,1,-100940
ACC000208,3175016111660155,9771286336,Bank BCA,Giro,Aktif,2024-09-06,6964178,989557,911103,42,0,5492933
ACC000209,3271012802710156,3955107840,Bank CIMB Niaga,Giro,Aktif,2019-03-24,2884963,768847,716164,159,0,2369467
ACC000210,3671010607690157,1795470153,Bank BCA,Giro,Aktif,2025-05-28,716102,681652,666940,154,0,336337
ACC000211,3671016606990158,4990846415,Bank CIMB Niaga,Giro,Aktif,2023-10-03,14326032,2040972,1808359,102,0,19372757
ACC000212,3276010708980159,8123052977,Bank Panin,Tabungan,Aktif,2015-12-06,7431541,2480426,2298055,103,1,-146290
ACC000213,3276010708980159,9412534147,BPR Mitra Usaha,Giro,Aktif,2022-11-16,4766393,1560226,1461194,150,0,5475854
ACC000214,3671016903770160,6428670499,Bank BCA,Tabungan,Aktif,2015-05-09,56272467,3140119,2345110,25,0,99127825
ACC000215,3671015511720161,6867036221,Bank OCBC NISP,Tabungan,Aktif,2016-12-12,37731160,1722457,1307690,138,0,60113207
ACC000216,3174011209760162,8582302820,Bank Panin,Giro,Aktif,2023-11-11,18080480,1227535,908435,184,0,19552383
ACC000217,3174011209760162,9449726514,Bank CIMB Niaga,Giro,Aktif,2024-07-09,31757836,1268904,909492,156,0,48890948
ACC000218,3671015510670163,7179927150,BNI,Giro,Aktif,2019-02-03,24204229,2186647,1764876,76,0,21476520
ACC000219,3671015510670163,6512473073,Bank OCBC NISP,Tabungan,Aktif,2025-03-29,27547819,1769713,1293340,185,0,12305438
ACC000220,3171015406860164,2223569887,Bank BCA,Giro,Aktif,2018-08-09,10556232,1983560,1720917,70,0,7281143
ACC000221,3171015406860164,1475176892,Bank Panin,Tabungan,Aktif,2020-01-09,17170006,1638358,1430360,119,0,8228210
