dukcapil_id,NIK,nama,tempat_lahir,tanggal_lahir,jenis_kelamin,golongan_darah,alamat,rt_rw,kelurahan_desa,kecamatan,kota_kabupaten,provinsi,agama,status_perkawinan,pekerjaan,kewarganegaraan,berlaku_hingga
DKC000029,3671010311920029,Rudi Situmorang,Tangerang,1992-11-03,Laki-Laki,B,Jl. Nugroho No. 42,003/007,Sukamaju,Kramat Jati,Tangerang,Banten,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000030,3671016012760030,Retno Lubis,Tangerang,1976-12-20,Perempuan,B,Jl. Hutapea No. 28,007/001,Bintaro,Kramat Jati,Tangerang,Banten,KRISTEN,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000031,3174015008940031,Lestari Nugroho,Jakarta Selatan,1994-08-10,Perempuan,B,Jl. Wibowo No. 85,005/002,Duren Sawit,Cengkareng,Jakarta Selatan,DKI Jakarta,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000032,3276015701910032,Siti Saputra,Depok,1991-01-17,Perempuan,AB,Jl. Wijaya No. 28,010/007,Rawa Bunga,Serpong,Depok,Jawa Barat,KATOLIK,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000033,3175012912660033,Slamet Siregar,Jakarta Timur,1966-12-29,Laki-Laki,O,Jl. Santoso No. 134,009/004,Rawa Bunga,Bekasi Timur,Jakarta Timur,DKI Jakarta,ISLAM,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000034,3671014110870034,Yanti Saputra,Tangerang,1987-10-01,Perempuan,AB,Jl. Lubis No. 105,006/007,Duren Sawit,Sukmajaya,Tangerang,Banten,KRISTEN,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000035,3671015108920035,Yanti Wibowo,Tangerang,1992-08-11,Perempuan,AB,Jl. Wibowo No. 141,001/005,Duren Sawit,Kramat Jati,Tangerang,Banten,HINDU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000036,3671014712870036,Novi Suryadi,Tangerang,1987-12-07,Perempuan,O,Jl. Panjaitan No. 44,011/002,Duren Sawit,Sukmajaya,Tangerang,Banten,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000037,3175012901750037,Fauzi Situmorang,Jakarta Timur,1975-01-29,Laki-Laki,B,Jl. Setiawan No. 7,001/004,Bintaro,Sukmajaya,Jakarta Timur,DKI Jakarta,ISLAM,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000038,3671016303970038,Melati Tanjung,Tangerang,1997-03-23,Perempuan,O,Jl. Handoko No. 103,004/003,Sukamaju,Tebet,Tangerang,Banten,HINDU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000039,3671010304670039,Yudi Hutapea,Tangerang,1967-04-03,Laki-Laki,B,Jl. Saputra No. 117,003/008,Rawa Bunga,Bekasi Timur,Tangerang,Banten,BUDDHA,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000040,3671015003850040,Melati Pratama,Tangerang,1985-03-10,Perempuan,AB,Jl. Situmorang No. 64,011/005,Bintaro,Serpong,Tangerang,Banten,KRISTEN,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000041,3276015003770041,Rina Hutapea,Depok,1977-03-10,Perempuan,AB,Jl. Gunawan No. 139,002/003,Cempaka Putih,Kramat Jati,Depok,Jawa Barat,HINDU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000042,3271010505890042,Andi Permana,Bogor,1989-05-05,Laki-Laki,O,Jl. Permana No. 16,004/007,Cipete,Sukmajaya,Bogor,Jawa Barat,KONGHUCU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000043,3271015910980043,Wati Santoso,Bogor,1998-10-19,Perempuan,O,Jl. Permana No. 138,012/009,Kebon Baru,Bekasi Timur,Bogor,Jawa Barat,KRISTEN,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000044,3271014201950044,Wati Santoso,Bogor,1995-01-02,Perempuan,O,Jl. Panjaitan No. 43,008/003,Sukamaju,Bekasi Timur,Bogor,Jawa Barat,BUDDHA,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000045,3173012502730045,Gunawan Permana,Jakarta Barat,1973-02-25,Laki-Laki,A,Jl. Firmansyah No. 98,006/004,Bintaro,Cengkareng,Jakarta Barat,DKI Jakarta,KATOLIK,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000046,3275014502860046,Tri Permana,Bekasi,1986-02-05,Perempuan,A,Jl. Panjaitan No. 139,001/006,Kebon Baru,Serpong,Bekasi,Jawa Barat,ISLAM,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000047,3172010211710047,Fajar Hidayat,Jakarta Utara,1971-11-02,Laki-Laki,B,Jl. Setiawan No. 122,011/002,Kebon Baru,Bekasi Timur,Jakarta Utara,DKI Jakarta,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000048,3671016211990048,Sri Simanjuntak,Tangerang,1999-11-22,Perempuan,B,Jl. Susanto No. 28,010/001,Duren Sawit,Sukmajaya,Tangerang,Banten,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000049,3172016512950049,Lina Hidayat,Jakarta Utara,1995-12-25,Perempuan,B,Jl. Saputra No. 78,011/010,Sukajadi,Sukmajaya,Jakarta Utara,DKI Jakarta,ISLAM,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000050,3172015801940050,Yanti Halim,Jakarta Utara,1994-01-18,Perempuan,AB,Jl. Santoso No. 108,008/002,Cipete,Cengkareng,Jakarta Utara,DKI Jakarta,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000051,3671011808920051,Joko Pratama,Tangerang,1992-08-18,Laki-Laki,O,Jl. Suryadi No. 112,012/010,Duren Sawit,Cengkareng,Tangerang,Banten,KRISTEN,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000052,3173016507900052,Melati Suryadi,Jakarta Barat,1990-07-25,Perempuan,O,Jl. Gunawan No. 8,008/006,Cempaka Putih,Bekasi Timur,Jakarta Barat,DKI Jakarta,KRISTEN,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000053,3671014712890053,Ratna Firmansyah,Tangerang,1989-12-07,Perempuan,A,Jl. Kusuma No. 49,002/004,Cipete,Bekasi Timur,Tangerang,Banten,BUDDHA,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000054,3674016707000054,Sari Hutapea,Tangerang Selatan,2000-07-27,Perempuan,A,Jl. Kurniawan No. 76,004/007,Kebon Baru,Cengkareng,Tangerang Selatan,Jawa Barat,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000055,3674015806980055,Dian Kusuma,Tangerang Selatan,1998-06-18,Perempuan,AB,Jl. Halim No. 117,005/005,Duren Sawit,Kramat Jati,Tangerang Selatan,Jawa Barat,ISLAM,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000056,3671014508730056,Ani Panjaitan,Tangerang,1973-08-05,Perempuan,B,Jl. Panjaitan No. 124,005/010,Duren Sawit,Tebet,Tangerang,Banten,KRISTEN,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000057,3275010510960057,Rudi Pratama,Bekasi,1996-10-05,Laki-Laki,B,Jl. Firmansyah No. 12,001/009,Duren Sawit,Serpong,Bekasi,Jawa Barat,KRISTEN,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000058,3671012101860058,Irfan Santoso,Tangerang,1986-01-21,Laki-Laki,O,Jl. Suryadi No. 88,003/001,Duren Sawit,Bekasi Timur,Tangerang,Banten,ISLAM,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000059,3671016210710059,Wati Kurniawan,Tangerang,1971-10-22,Perempuan,B,Jl. Siregar No. 78,002/004,Sukajadi,Sukmajaya,Tangerang,Banten,HINDU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000060,3674015309780060,Novi Suryadi,Tangerang Selatan,1978-09-13,Perempuan,A,Jl. Simanjuntak No. 26,004/004,Duren Sawit,Serpong,Tangerang Selatan,Jawa Barat,ISLAM,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000061,3171011302650061,Hendra Rahman,Jakarta Pusat,1965-02-13,Laki-Laki,O,Jl. Suryadi No. 121,005/001,Kebon Baru,Cengkareng,Jakarta Pusat,DKI Jakarta,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000062,3175014405000062,Rina Lubis,Jakarta Timur,2000-05-04,Perempuan,B,Jl. Permana No. 30,009/004,Cempaka Putih,Cengkareng,Jakarta Timur,DKI Jakarta,KRISTEN,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000063,3671011309840063,Hendra Susanto,Tangerang,1984-09-13,Laki-Laki,A,Jl. Suryadi No. 78,012/007,Duren Sawit,Sukmajaya,Tangerang,Banten,BUDDHA,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000064,3173015312970064,Rina Simanjuntak,Jakarta Barat,1997-12-13,Perempuan,AB,Jl. Simanjuntak No. 65,001/002,Kebon Baru,Serpong,Jakarta Barat,DKI Jakarta,BUDDHA,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000065,3173015204880065,Rita Wijaya,Jakarta Barat,1988-04-12,Perempuan,O,Jl. Firmansyah No. 47,010/007,Bintaro,Tebet,Jakarta Barat,DKI Jakarta,HINDU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000066,3671016406030066,Ratna Gunawan,Tangerang,2003-06-24,Perempuan,B,Jl. Gunawan No. 106,012/008,Duren Sawit,Serpong,Tangerang,Banten,HINDU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000067,3271015503700067,Rina Gunawan,Bogor,1970-03-15,Perempuan,O,Jl. Kusuma No. 1,011/009,Bintaro,Bekasi Timur,Bogor,Jawa Barat,ISLAM,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000068,3674014302990068,Nina Situmorang,Tangerang Selatan,1999-02-03,Perempuan,A,Jl. Hidayat No. 69,009/003,Duren Sawit,Bekasi Timur,Tangerang Selatan,Jawa Barat,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000069,3671010311960069,Budi Tanjung,Tangerang,1996-11-03,Laki-Laki,B,Jl. Susanto No. 142,001/009,Cipete,Tebet,Tangerang,Banten,KRISTEN,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000070,3173016202970070,Ani Tanjung,Jakarta Barat,1997-02-22,Perempuan,AB,Jl. Kusuma No. 70,007/008,Bintaro,Kramat Jati,Jakarta Barat,DKI Jakarta,HINDU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000071,3671015802680071,Yuni Simanjuntak,Tangerang,1968-02-18,Perempuan,AB,Jl. Situmorang No. 107,006/009,Duren Sawit,Tebet,Tangerang,Banten,KATOLIK,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000072,3674016506800072,Anggi Setiawan,Tangerang Selatan,1980-06-25,Perempuan,AB,Jl. Rahman No. 140,007/008,Rawa Bunga,Kramat Jati,Tangerang Selatan,Jawa Barat,KONGHUCU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000073,3275015104790073,Fitri Situmorang,Bekasi,1979-04-11,Perempuan,O,Jl. Hutapea No. 98,007/003,Bintaro,Tebet,Bekasi,Jawa Barat,KRISTEN,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000074,3172010107850074,Irfan Suryadi,Jakarta Utara,1985-07-01,Laki-Laki,A,Jl. Panjaitan No. 37,007/003,Sukajadi,Bekasi Timur,Jakarta Utara,DKI Jakarta,KATOLIK,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000075,3674015703790075,Sari Kurniawan,Tangerang Selatan,1979-03-17,Perempuan,O,Jl. Rahman No. 10,010/002,Kebon Baru,Serpong,Tangerang Selatan,Jawa Barat,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000076,3275010902990076,Rian Kurniawan,Bekasi,1999-02-09,Laki-Laki,A,Jl. Suryadi No. 43,012/005,Sukamaju,Tebet,Bekasi,Jawa Barat,KATOLIK,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000077,3276015512750077,Maya Halim,Depok,1975-12-15,Perempuan,O,Jl. Siregar No. 47,003/003,Sukajadi,Sukmajaya,Depok,Jawa Barat,HINDU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000078,3171014809850078,Suryani Siregar,Jakarta Pusat,1985-09-08,Perempuan,AB,Jl. Suryadi No. 66,011/001,Bintaro,Cengkareng,Jakarta Pusat,DKI Jakarta,KONGHUCU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000079,3671013008930079,Hadi Halim,Tangerang,1993-08-30,Laki-Laki,O,Jl. Hutapea No. 65,008/005,Kebon Baru,Bekasi Timur,Tangerang,Banten,HINDU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000080,3271011405960080,Slamet Siregar,Bogor,1996-05-14,Laki-Laki,AB,Jl. Santoso No. 102,005/001,Sukamaju,Sukmajaya,Bogor,Jawa Barat,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000081,3671016910740081,Tri Nugroho,Tangerang,1974-10-29,Perempuan,B,Jl. Simanjuntak No. 65,011/003,Sukajadi,Serpong,Tangerang,Banten,KONGHUCU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000082,3172015405810082,Retno Suryadi,Jakarta Utara,1981-05-14,Perempuan,B,Jl. Kurniawan No. 76,006/007,Cempaka Putih,Kramat Jati,Jakarta Utara,DKI Jakarta,KRISTEN,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000083,3674014603010083,Kartika Pratama,Tangerang Selatan,2001-03-06,Perempuan,AB,Jl. Panjaitan No. 87,002/008,Sukajadi,Kramat Jati,Tangerang Selatan,Jawa Barat,KRISTEN,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000084,3175016601890084,Rina Wibowo,Jakarta Timur,1989-01-26,Perempuan,A,Jl. Suryadi No. 95,011/005,Cipete,Serpong,Jakarta Timur,DKI Jakarta,KATOLIK,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000085,3671011405920085,Ahmad Santoso,Tangerang,1992-05-14,Laki-Laki,B,Jl. Tanjung No. 17,011/008,Duren Sawit,Serpong,Tangerang,Banten,HINDU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000086,3674011803700086,Agus Wijaya,Tangerang Selatan,1970-03-18,Laki-Laki,A,Jl. Nugroho No. 138,003/007,Bintaro,Cengkareng,Tangerang Selatan,Jawa Barat,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000087,3671012605020087,Bayu Permana,Tangerang,2002-05-26,Laki-Laki,O,Jl. Simanjuntak No. 105,005/001,Rawa Bunga,Kramat Jati,Tangerang,Banten,HINDU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000088,3175010406890088,Irfan Halim,Jakarta Timur,1989-06-04,Laki-Laki,AB,Jl. Wijaya No. 102,005/004,Sukajadi,Bekasi Timur,Jakarta Timur,DKI Jakarta,ISLAM,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000089,3171012004000089,Agus Gunawan,Jakarta Pusat,2000-04-20,Laki-Laki,B,Jl. Kurniawan No. 142,004/010,Kebon Baru,Kramat Jati,Jakarta Pusat,DKI Jakarta,KATOLIK,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000090,3172013003760090,Wahyu Setiawan,Jakarta Utara,1976-03-30,Laki-Laki,B,Jl. Saputra No. 7,003/001,Rawa Bunga,Kramat Jati,Jakarta Utara,DKI Jakarta,BUDDHA,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000091,3171011004980091,Hendra Firmansyah,Jakarta Pusat,1998-04-10,Laki-Laki,O,Jl. Kusuma No. 30,012/002,Bintaro,Bekasi Timur,Jakarta Pusat,DKI Jakarta,KATOLIK,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000092,3671015608970092,Ayu Nugroho,Tangerang,1997-08-16,Perempuan,AB,Jl. Suryadi No. 8,001/008,Cipete,Bekasi Timur,Tangerang,Banten,KONGHUCU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000093,3174015406790093,Lina Suryadi,Jakarta Selatan,1979-06-14,Perempuan,B,Jl. Kurniawan No. 33,005/010,Rawa Bunga,Bekasi Timur,Jakarta Selatan,DKI Jakarta,BUDDHA,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000094,3275017007000094,Ayu Simanjuntak,Bekasi,2000-07-30,Perempuan,A,Jl. Tanjung No. 142,012/004,Cipete,Bekasi Timur,Bekasi,Jawa Barat,KRISTEN,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000095,3674016309970095,Kartika Suryadi,Tangerang Selatan,1997-09-23,Perempuan,A,Jl. Gunawan No. 110,006/005,Rawa Bunga,Kramat Jati,Tangerang Selatan,Jawa Barat,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000096,3173010205690096,Andi Kurniawan,Jakarta Barat,1969-05-02,Laki-Laki,AB,Jl. Setiawan No. 143,001/010,Rawa Bunga,Serpong,Jakarta Barat,DKI Jakarta,ISLAM,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000097,3275016611770097,Anggi Lubis,Bekasi,1977-11-26,Perempuan,AB,Jl. Halim No. 27,010/009,Kebon Baru,Kramat Jati,Bekasi,Jawa Barat,KONGHUCU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000098,3271012602700098,Irfan Saputra,Bogor,1970-02-26,Laki-Laki,AB,Jl. Siregar No. 58,007/009,Sukamaju,Sukmajaya,Bogor,Jawa Barat,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000099,3671013003800099,Hendra Firmansyah,Tangerang,1980-03-30,Laki-Laki,AB,Jl. Santoso No. 47,003/010,Cipete,Tebet,Tangerang,Banten,KRISTEN,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000100,3173010111830100,Rian Kusuma,Jakarta Barat,1983-11-01,Laki-Laki,O,Jl. Gunawan No. 41,006/005,Rawa Bunga,Sukmajaya,Jakarta Barat,DKI Jakarta,BUDDHA,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000101,3671012703950101,Dedi Pratama,Tangerang,1995-03-27,Laki-Laki,A,Jl. Firmansyah No. 114,011/007,Bintaro,Sukmajaya,Tangerang,Banten,HINDU,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000102,3671016606800102,Yuni Situmorang,Tangerang,1980-06-26,Perempuan,O,Jl. Saputra No. 73,011/010,Bintaro,Sukmajaya,Tangerang,Banten,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000103,3671010605650103,Fajar Wibowo,Tangerang,1965-05-06,Laki-Laki,B,Jl. Susanto No. 55,003/005,Duren Sawit,Cengkareng,Tangerang,Banten,ISLAM,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000104,3171016101820104,Desi Permana,Jakarta Pusat,1982-01-21,Perempuan,B,Jl. Kusuma No. 144,011/006,Sukajadi,Bekasi Timur,Jakarta Pusat,DKI Jakarta,KONGHUCU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
