application_id,NIK,company_name,owner_name,industry,sub_industry,province,city,branch_name,region,rm_id,rm_name,rm_branch_name,level,loan_requested,collateral_type,collateral_market_value,collateral_ratio,estimated_dsr,revenue_growth_pct,profit_margin_2025,slik_worst_collectability,status_dhn,bank_best_avg_balance_6m,bank_best_current_balance,identity_passed,character_score,character_notes,collateral_score,collateral_notes,financial_score,financial_notes,cashflow_score,cashflow_notes,risk_score,decision,zone,jenis_kredit_rekomendasi,nominal_disetujui,jangka_waktu_bulan,bunga_persen,insight,insight_kategori,label
APP202600011,3275016305970011,UD Lubis Jaya,Ika Pratama,Manufaktur,Pengolahan Makanan Ringan,Jawa Barat,Bekasi,KCP Kemang,Region 4,RM0031,Yanti Suryadi,KCP Kemang,Junior RB,1000000000,Ruko,13659956000,13.66,3.0,0.1391,0.1124,2.0,Tidak,5810581,5757120,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 2 bank,1.0,LTV agunan 1366% dari pinjaman,0.683,"Omset tumbuh +13.9% (2024→2025), margin laba 11.2%",0.175,"Saldo rata-rata 3.7x omset bulanan, saldo real-time 3.6x omset bulanan",0.739,Layak,Hijau,KI,1000000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600012,3172010612990012,CV Siregar Jaya,Rudi Situmorang,Pertanian,Distributor Hasil Tani,DKI Jakarta,Jakarta Utara,KCP Bekasi Barat,Region 3,RM0012,Ika Tanjung,KCP Bekasi Barat,Junior RB,50000000,Rumah,20339078000,406.78,0.48,0.4697,0.1061,0.0,Tidak,11244169,4561858,True,0.6,Belum memiliki riwayat kredit di SLIK (nasabah baru),1.0,LTV agunan 40678% dari pinjaman,0.865,"Omset tumbuh +47.0% (2024→2025), margin laba 10.6%",0.121,"Saldo rata-rata 3.5x omset bulanan, saldo real-time 1.4x omset bulanan",0.714,Layak,Hijau,KMK,50000000,12,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600013,3174013110970013,CV Suryadi Sejahtera,Fajar Siregar,Jasa,Jasa Konstruksi Kecil,DKI Jakarta,Jakarta Selatan,KCP Pluit,Region 2,RM0033,Yudi Rahman,KCP Pluit,Senior RB,1000000000,Tanah,571532000,0.57,3.0,0.2398,0.0824,1.0,Tidak,19152421,15944262,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,0.38,LTV agunan 57% dari pinjaman,0.664,"Omset tumbuh +24.0% (2024→2025), margin laba 8.2%",0.455,"Saldo rata-rata 10.3x omset bulanan, saldo real-time 8.5x omset bulanan",0.73,Layak,Hijau,KI,400072400,36,9.5,"Layak tapi Collateral, Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.",Layak tapi,Diterima
APP202600014,3671016412960014,CV Wibowo Makmur,Yuni Rahman,Jasa,Percetakan,Banten,Tangerang,KCP Kemang,Region 2,RM0032,Tri Permana,KCP Kemang,Senior RB,150000000,Ruko,3693917000,24.63,1.69,0.2499,0.0918,1.0,Tidak,30436142,52729265,True,1.0,Kolektibilitas terburuk: Lancar di 2 bank,1.0,LTV agunan 2463% dari pinjaman,0.695,"Omset tumbuh +25.0% (2024→2025), margin laba 9.2%",0.465,"Saldo rata-rata 7.3x omset bulanan, saldo real-time 12.6x omset bulanan",0.862,Layak,Hijau,KMK,150000000,12,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600015,3671012605910015,PT Firmansyah Makmur,Eko Santoso,Pertanian,Peternakan Ayam,Banten,Tangerang,KCP Cikini,Region 1,RM0026,Agus Santoso,KCP Cikini,Senior RB,75000000,Tanah,8127861000,108.37,3.0,-0.0576,0.0904,1.0,Tidak,11534435,18149280,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 10837% dari pinjaman,0.507,"Omset menurun -5.8% (2024→2025), margin laba 9.0%",0.972,"Saldo rata-rata 18.1x omset bulanan, saldo real-time 28.5x omset bulanan",0.85,Layak,Hijau,KMK,75000000,12,9.5,"Layak karena seluruh komponen (Character 1.00, Financial 0.51, Collateral 1.00, Cashflow 0.97) berada di zona aman.",Layak karena,Diterima
APP202600016,3674011208740016,PT Panjaitan Abadi,Dimas Nugroho,Jasa,Laundry,Jawa Barat,Tangerang Selatan,KCP Bekasi Barat,Region 4,RM0012,Ika Tanjung,KCP Bekasi Barat,Junior RB,750000000,Tanah,923824000,1.23,3.0,0.3524,0.2151,4.0,Tidak,2546975,2749928,True,0.2,Kolektibilitas terburuk: Diragukan di 1 bank,0.82,LTV agunan 123% dari pinjaman,0.911,"Omset tumbuh +35.2% (2024→2025), margin laba 21.5%",0.063,"Saldo rata-rata 1.3x omset bulanan, saldo real-time 1.4x omset bulanan",0.56,Layak Bersyarat,Kuning,KI,646676800,36,12.0,"Layak bersyarat karena Character, Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Ditolak
APP202600017,3271010101840017,UD Kusuma Sejahtera,Rizky Lubis,Pertanian,Peternakan Ayam,Jawa Barat,Bogor,KCP Cikini,Region 4,RM0028,Agus Firmansyah,KCP Cikini,Junior RB,500000000,Rumah,3335597000,6.67,3.0,0.1279,0.1289,4.0,Tidak,3991595,6878226,True,0.2,Kolektibilitas terburuk: Diragukan di 2 bank,1.0,LTV agunan 667% dari pinjaman,0.72,"Omset tumbuh +12.8% (2024→2025), margin laba 12.9%",0.167,"Saldo rata-rata 2.6x omset bulanan, saldo real-time 4.5x omset bulanan",0.543,Perlu Review Ulang,Kuning,KI,500000000,36,12.0,Perlu review ulang karena skor gabungan (0.54) berada di area abu-abu — disarankan OTS/wawancara lanjutan sebelum keputusan final.,Perlu review ulang karena,Ditolak
APP202600018,3172011502850018,CV Halim Mandiri,Fajar Hidayat,Jasa,Bengkel,DKI Jakarta,Jakarta Utara,KCP Depok Margonda,Region 3,RM0016,Suryani Setiawan,KCP Depok Margonda,Junior RB,200000000,Ruko,9984115000,49.92,3.0,0.2914,0.1047,4.0,Tidak,18801149,33786312,True,0.2,Kolektibilitas terburuk: Diragukan di 2 bank,1.0,LTV agunan 4992% dari pinjaman,0.754,"Omset tumbuh +29.1% (2024→2025), margin laba 10.5%",0.372,"Saldo rata-rata 7.2x omset bulanan, saldo real-time 13.0x omset bulanan, overdraft 1x dalam 6 bulan",0.588,Layak Bersyarat,Kuning,KI,200000000,36,12.0,"Layak bersyarat karena Character, Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Ditolak
APP202600019,3174012110980019,UD Kurniawan Mandiri,Gunawan Rahman,Pertanian,Distributor Hasil Tani,DKI Jakarta,Jakarta Selatan,KCP Tebet,Region 3,RM0003,Dedi Kurniawan,KCP Tebet,Senior RB,300000000,Ruko,2164396000,7.21,3.0,0.304,0.081,1.0,Tidak,7526152,3366225,True,1.0,Kolektibilitas terburuk: Lancar di 2 bank,1.0,LTV agunan 721% dari pinjaman,0.698,"Omset tumbuh +30.4% (2024→2025), margin laba 8.1%",0.199,"Saldo rata-rata 5.5x omset bulanan, saldo real-time 2.5x omset bulanan",0.82,Layak,Hijau,KI,300000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600020,3674015810770020,UD Halim Makmur,Siti Wibowo,Jasa,Percetakan,Jawa Barat,Tangerang Selatan,KCP Tangerang BSD,Region 2,RM0024,Rita Tanjung,KCP Tangerang BSD,Junior RB,100000000,Ruko,5544622000,55.45,3.0,-0.1083,0.1226,2.0,Ya,8109247,3494818,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 2 bank,1.0,LTV agunan 5545% dari pinjaman,0.562,"Omset menurun -10.8% (2024→2025), margin laba 12.3%",0.0,"Saldo rata-rata 9.0x omset bulanan, saldo real-time 3.9x omset bulanan, overdraft 2x dalam 6 bulan, memiliki rekening dormant",,Tidak Layak,Merah,-,0,0,,Tidak layak karena nasabah terdaftar di Daftar Hitam Nasional (Laporan pihak ketiga terkait sengketa usaha).,Tidak layak karena,Ditolak
APP202600021,3671012107980021,PT Wijaya Abadi,Taufik Panjaitan,Perdagangan,Grosir Pakaian,Banten,Tangerang,KCP Tebet,Region 2,RM0001,Ani Tanjung,KCP Tebet,Junior RB,200000000,Tanah,2753032000,13.77,3.0,-0.0069,0.1313,1.0,Tidak,11710822,9603190,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 1377% dari pinjaman,0.646,"Omset stagnan -0.7% (2024→2025), margin laba 13.1%",0.344,"Saldo rata-rata 10.1x omset bulanan, saldo real-time 8.3x omset bulanan, overdraft 1x dalam 6 bulan",0.838,Layak,Hijau,KI,200000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600022,3171011102830022,PT Setiawan Sejahtera,Andi Simanjuntak,Jasa,Laundry,DKI Jakarta,Jakarta Pusat,KCP Kelapa Gading,Region 2,RM0005,Bayu Situmorang,KCP Kelapa Gading,Senior RB,150000000,Rumah,978231000,6.52,3.0,0.1506,0.1637,1.0,Tidak,8888324,10412344,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 652% dari pinjaman,0.79,"Omset tumbuh +15.1% (2024→2025), margin laba 16.4%",0.209,"Saldo rata-rata 4.0x omset bulanan, saldo real-time 4.7x omset bulanan",0.86,Layak,Hijau,KMK,150000000,12,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600023,3175015609750023,UD Susanto Mandiri,Suryani Firmansyah,Manufaktur,Pengolahan Makanan Ringan,DKI Jakarta,Jakarta Timur,KCP Kemang,Region 2,RM0029,Bayu Lubis,KCP Kemang,Junior RB,750000000,Tanah,18746996000,25.0,3.0,-0.1844,0.064,3.0,Tidak,11638176,699733,True,0.45,Kolektibilitas terburuk: Kurang Lancar di 2 bank,1.0,LTV agunan 2500% dari pinjaman,0.36,"Omset menurun -18.4% (2024→2025), margin laba 6.4%",0.235,"Saldo rata-rata 14.1x omset bulanan, saldo real-time 0.8x omset bulanan, memiliki rekening dormant",0.559,Layak Bersyarat,Kuning,KI,750000000,36,12.0,"Layak bersyarat karena Character, Financial, Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Ditolak
APP202600024,3174015202890024,UD Susanto Mandiri,Nina Siregar,Kuliner,Bakery,DKI Jakarta,Jakarta Selatan,KCP Kemang,Region 1,RM0031,Yanti Suryadi,KCP Kemang,Junior RB,500000000,Tanah,3008174000,6.02,3.0,-0.2733,0.0432,0.0,Tidak,13958479,14396196,True,0.6,Belum memiliki riwayat kredit di SLIK (nasabah baru),1.0,LTV agunan 602% dari pinjaman,0.251,"Omset menurun -27.3% (2024→2025), margin laba 4.3%",0.474,"Saldo rata-rata 9.7x omset bulanan, saldo real-time 10.0x omset bulanan",0.604,Layak Bersyarat,Kuning,KI,500000000,36,12.0,"Layak bersyarat karena Financial, Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Diterima
APP202600025,3671010906920025,PT Pratama Makmur,Hadi Rahman,Perdagangan,Toko Sembako,Banten,Tangerang,KCP Tebet,Region 3,RM0001,Ani Tanjung,KCP Tebet,Junior RB,1000000000,Rumah,9196592000,9.2,3.0,-0.0152,0.1064,1.0,Tidak,2805333,3303512,True,1.0,Kolektibilitas terburuk: Lancar di 2 bank,1.0,LTV agunan 920% dari pinjaman,0.575,"Omset stagnan -1.5% (2024→2025), margin laba 10.6%",0.262,"Saldo rata-rata 5.0x omset bulanan, saldo real-time 5.9x omset bulanan",0.812,Layak,Hijau,KI,1000000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600026,3671011103970026,CV Panjaitan Jaya,Wahyu Susanto,Jasa,Bengkel,Banten,Tangerang,KCP Bekasi Barat,Region 4,RM0010,Indah Rahman,KCP Bekasi Barat,Senior RB,100000000,Gudang,4645488000,46.45,3.0,0.0835,0.12,1.0,Tidak,5503460,406343,True,1.0,Kolektibilitas terburuk: Lancar di 2 bank,1.0,LTV agunan 4645% dari pinjaman,0.67,"Omset tumbuh +8.3% (2024→2025), margin laba 12.0%",0.033,"Saldo rata-rata 6.6x omset bulanan, saldo real-time 0.5x omset bulanan, memiliki rekening dormant",0.813,Layak,Hijau,KMK,100000000,12,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600027,3276017107930027,PT Saputra Jaya,Dewi Santoso,Pertanian,Distributor Hasil Tani,Jawa Barat,Depok,KCP Kelapa Gading,Region 3,RM0006,Budi Suryadi,KCP Kelapa Gading,Senior RB,50000000,Ruko,1757723000,35.15,0.18,0.3733,0.1914,0.0,Tidak,161959428,19157373,True,0.6,Belum memiliki riwayat kredit di SLIK (nasabah baru),1.0,LTV agunan 3515% dari pinjaman,0.924,"Omset tumbuh +37.3% (2024→2025), margin laba 19.1%",0.372,"Saldo rata-rata 18.2x omset bulanan, saldo real-time 2.2x omset bulanan, memiliki rekening dormant",0.754,Layak,Hijau,KMK,50000000,12,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600028,3671011204840028,CV Simanjuntak Abadi,Fauzi Halim,Jasa,Jasa Konstruksi Kecil,Banten,Tangerang,KCP Bekasi Barat,Region 2,RM0009,Yuni Pratama,KCP Bekasi Barat,Senior RB,200000000,Tanah,7510380000,37.55,3.0,0.2365,0.084,1.0,Tidak,8546525,7055593,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 3755% dari pinjaman,0.666,"Omset tumbuh +23.6% (2024→2025), margin laba 8.4%",0.0,"Saldo rata-rata 3.9x omset bulanan, saldo real-time 3.2x omset bulanan, overdraft 3x dalam 6 bulan",0.808,Layak,Hijau,KI,200000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600029,3671010311920029,UD Santoso Jaya,Rudi Situmorang,Perdagangan,Toko Alat Tulis,Banten,Tangerang,KCP Tangerang BSD,Region 3,RM0023,Anton Saputra,KCP Tangerang BSD,Junior RB,1000000000,Rumah,2731330000,2.73,3.0,0.2113,0.0934,2.0,Tidak,54311006,53245717,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 1 bank,1.0,LTV agunan 273% dari pinjaman,0.676,"Omset tumbuh +21.1% (2024→2025), margin laba 9.3%",0.603,"Saldo rata-rata 12.7x omset bulanan, saldo real-time 12.4x omset bulanan",0.784,Layak,Hijau,KI,1000000000,36,9.5,"Layak karena seluruh komponen (Character 0.75, Financial 0.68, Collateral 1.00, Cashflow 0.60) berada di zona aman.",Layak karena,Diterima
APP202600030,3671016012760030,PT Kusuma Makmur,Retno Lubis,Manufaktur,Konveksi,Banten,Tangerang,KCP Bekasi Barat,Region 1,RM0009,Yuni Pratama,KCP Bekasi Barat,Senior RB,750000000,Tanah,1881744000,2.51,3.0,0.0907,0.1016,1.0,Tidak,11035460,5855850,True,1.0,Kolektibilitas terburuk: Lancar di 2 bank,0.2,LTV agunan 251% dari pinjaman — nama sertifikat TIDAK sesuai pemilik (butuh verifikasi manual),0.625,"Omset tumbuh +9.1% (2024→2025), margin laba 10.2%",0.309,"Saldo rata-rata 8.2x omset bulanan, saldo real-time 4.4x omset bulanan",0.665,Layak Bersyarat,Kuning,KI,750000000,36,12.0,"Layak bersyarat karena Collateral, Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Diterima
APP202600031,3174015008940031,CV Siregar Makmur,Lestari Nugroho,Manufaktur,Konveksi,DKI Jakarta,Jakarta Selatan,KCP Cikini,Region 4,RM0027,Sari Setiawan,KCP Cikini,Senior RB,100000000,Ruko,9787176000,97.87,3.0,0.4805,0.1297,1.0,Tidak,11831269,5959152,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 9787% dari pinjaman,0.934,"Omset tumbuh +48.0% (2024→2025), margin laba 13.0%",0.357,"Saldo rata-rata 15.0x omset bulanan, saldo real-time 7.6x omset bulanan, overdraft 2x dalam 6 bulan",0.907,Layak,Hijau,KMK,100000000,12,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600032,3276015701910032,CV Saputra Mandiri,Siti Saputra,Jasa,Bengkel,Jawa Barat,Depok,KCP Kelapa Gading,Region 1,RM0008,Retno Kusuma,KCP Kelapa Gading,Junior RB,150000000,Gudang,961289000,6.41,2.57,0.4314,0.0935,0.0,Tidak,24776114,30046668,True,0.6,Belum memiliki riwayat kredit di SLIK (nasabah baru),1.0,LTV agunan 641% dari pinjaman,0.808,"Omset tumbuh +43.1% (2024→2025), margin laba 9.3%",0.717,"Saldo rata-rata 13.6x omset bulanan, saldo real-time 16.5x omset bulanan",0.776,Layak,Hijau,KMK,150000000,12,9.5,"Layak karena seluruh komponen (Character 0.60, Financial 0.81, Collateral 1.00, Cashflow 0.72) berada di zona aman.",Layak karena,Diterima
APP202600033,3175012912660033,UD Halim Makmur,Slamet Siregar,Perdagangan,Toko Alat Tulis,DKI Jakarta,Jakarta Timur,KCP Tebet,Region 3,RM0004,Rita Halim,KCP Tebet,Junior RB,750000000,Gudang,16354946000,21.81,3.0,-0.1088,0.0608,2.0,Tidak,26565572,30677214,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 1 bank,0.2,LTV agunan 2181% dari pinjaman — nama sertifikat TIDAK sesuai pemilik (butuh verifikasi manual),0.397,"Omset menurun -10.9% (2024→2025), margin laba 6.1%",1.0,"Saldo rata-rata 24.7x omset bulanan, saldo real-time 28.6x omset bulanan",0.594,Layak Bersyarat,Kuning,KI,750000000,36,12.0,"Layak bersyarat karena Financial, Collateral — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Diterima
