personId;displayName;email;phone;avgRate;responseCount;incidentCount;totalTicketReopenCount;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_001 \\ A_INTERNET_001_001_002;responses.createdAt;tanggal;respon_tanggal;responses.updatedAt;responses.userId;responses.userEmail;responses.userName;responses.phone;responses.indiHomeNum;responses.rate;responses.crewId;responses.selectedOptions;responses.comments;;responses.region_new;responses.region;responses.witel_new;responses.witel;responses.sto;responses.reopenCount;responses.ticketId;createdAt;updatedAt;crewId;groupedIncidents.A_IPTV \\ A_IPTV_001 \\ A_IPTV_001_001 \\ A_IPTV_001_001_002;groupedIncidents;responses.bookingId;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_001 \\ A_INTERNET_001_001_001;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_006;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_005;groupedIncidents.A_VOICE \\ A_VOICE_001 \\ A_VOICE_001_002 \\ A_VOICE_001_002_004;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_003 \\ A_INTERNET_001_003_003;groupedIncidents.A_IPTV \\ A_IPTV_001 \\ A_IPTV_001_003 \\ A_IPTV_001_003_001;groupedIncidents.A_IPTV \\ A_IPTV_001 \\ A_IPTV_001_003 \\ A_IPTV_001_003_002;groupedIncidents.A_VOICE \\ A_VOICE_001 \\ A_VOICE_001_002 \\ A_VOICE_001_002_009;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_004;groupedIncidents.A_VOICE \\ A_VOICE_001 \\ A_VOICE_001_002 \\ A_VOICE_001_002_005;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_002 \\ A_INTERNET_001_002_004,,,,,
TAW2BOGOR_021;nama teknisi;xxxx@email.com;88888888888;05.00;8;8;0;2;2022-01-03T14:53:17+07:00;03/01/2022;Jan-22;2022-01-03T14:53:17+07:00;60a6cd0bed9f9f6a84793e4f;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO072;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi;;;REGIONAL 2;JAKARTA;BOGOR;BOGOR;BOO;0;IN122874190;2021-04-16T14:44:37+07:00;2022-01-05T12:47:34+07:00;;;;;3;;;;;1;2;;;;,,
TAW2BOGOR_021;nama teknisi;xxxx@email.com;88888888888;05.00;8;8;0;2;2022-01-05T12:47:34+07:00;05/01/2022;Jan-22;2022-01-05T12:47:34+07:00;60a6cba6ed9f9f6a846d99b4;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO009;Ramah;;;REGIONAL 2;JAKARTA;BOGOR;BOGOR;BOO;0;IN121301078;2021-04-16T14:44:37+07:00;2022-01-05T12:47:34+07:00;;;;;3;;;;;1;2;;;;,,,,,
TAW2JAKSEL_171;nama teknisi;xxxx@email.com;88888888888;05.00;3;3;0;1;2021-04-17T11:24:26+07:00;17/04/2021;Apr-21;2021-04-17T11:24:26+07:00;604b1e80b27ec6001bad889a;xxxx@email.com;nama pelanggan;88888888888;121xxxxxxx;5;A2TBE021;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;REGIONAL 2;JAKARTA SELATAN;JAKARTA SELATAN;TBE;0;IN96668183;2021-04-17T11:24:26+07:00;2021-11-10T22:39:10+07:00;;;;;2;;;;;;;;;;,
TAW2JAKSEL_171;nama teknisi;xxxx@email.com;88888888888;05.00;3;3;0;1;2021-11-09T14:45:23+07:00;09/11/2021;Nov-21;2021-11-09T14:45:23+07:00;60a6c68eed9f9f6a8438e216;xxxx@email.com;nama pelanggan;88888888888;121xxxxxxx;5;A2TBE071;Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;DATEL JAKARTA SELATAN;JAKARTA SELATAN;JAKARTA SELATAN;TBE;0;IN115823954;2021-04-17T11:24:26+07:00;2021-11-10T22:39:10+07:00;;;;;2;;;;;;;;;;,,,,,
TAW2JAKSEL_171;nama teknisi;xxxx@email.com;88888888888;05.00;3;3;0;1;2021-11-10T22:39:10+07:00;10/11/2021;Nov-21;2021-11-10T22:39:10+07:00;60a6d10ded9f9f6a849fd583;xxxx@email.com;nama pelanggan;88888888888;121xxxxxxx;5;A2TBE076;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;DATEL JAKARTA SELATAN;JAKARTA SELATAN;JAKARTA SELATAN;TBE;0;IN116441474;2021-04-17T11:24:26+07:00;2021-11-10T22:39:10+07:00;;;;;2;;;;;;;;;;,
18950453;nama teknisi;xxxx@email.com;88888888888;5;1;1;0;;2021-04-20T10:31:22+07:00;20/04/2021;Apr-21;2021-04-20T10:31:22+07:00;606efbe58fa963001b014da5;xxxx@email.com;nama pelanggan;88888888888;172xxxxxxx;5;A7PNK202;Datang tepat waktu;;;REGIONAL 7;REGIONAL 7;MAKASSAR;MAKASSAR;PNK;0;IN96401006;2021-04-20T10:31:22+07:00;2021-04-20T10:31:22+07:00;;;;;1;;;;;;;;;;,,,,,
18940228;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;4;2021-04-20T10:31:22+07:00;20/04/2021;Apr-21;2021-04-20T10:31:22+07:00;606efbe58fa963001b014da5;xxxx@email.com;nama pelanggan;88888888888;172xxxxxxx;5;A7PNK202;Datang tepat waktu;;;REGIONAL 7;REGIONAL 7;MAKASSAR;MAKASSAR;PNK;0;IN96401006;2021-04-20T10:31:22+07:00;2021-11-22T21:24:39+07:00;;;;;1;;;;;;;;;;,,,,,
18940228;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;4;2021-11-18T11:29:49+07:00;18/11/2021;Nov-21;2021-11-18T11:29:49+07:00;60a6ca02ed9f9f6a845ee9f8;xxxx@email.com;nama pelanggan;88888888888;172xxxxxxx;5;A7PNK604;Datang tepat waktu;;;REGIONAL 7;DATEL MAKASAR;MAKASSAR;MAKASSAR;PNK;0;IN117107200;2021-04-20T10:31:22+07:00;2021-11-22T21:24:39+07:00;;;;;1;;;;;;;;;;,,,,,
18940228;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;4;2021-11-18T11:30:11+07:00;18/11/2021;Nov-21;2021-11-18T11:30:11+07:00;60a6ca02ed9f9f6a845ee9f8;xxxx@email.com;nama pelanggan;88888888888;172xxxxxxx;5;A7PNK604;Datang tepat waktu;;;REGIONAL 7;DATEL MAKASAR;MAKASSAR;MAKASSAR;PNK;0;IN117107200;2021-04-20T10:31:22+07:00;2021-11-22T21:24:39+07:00;;;;;1;;;;;;;;;;,,,,,
18940228;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;4;2021-11-18T11:52:21+07:00;18/11/2021;Nov-21;2021-11-18T11:52:21+07:00;60a6ca02ed9f9f6a845ee9f8;xxxx@email.com;nama pelanggan;88888888888;172xxxxxxx;5;A7PNK604;Datang tepat waktu;;;REGIONAL 7;DATEL MAKASAR;MAKASSAR;MAKASSAR;PNK;0;IN117107200;2021-04-20T10:31:22+07:00;2021-11-22T21:24:39+07:00;;;;;1;;;;;;;;;;,,,,,
18940228;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;4;2021-11-22T21:24:39+07:00;22/11/2021;Nov-21;2021-11-22T21:24:39+07:00;6190b27b1e7ca3001c8b74b5;xxxx@email.com;nama pelanggan;88888888888;172xxxxxxx;5;A7PNK211;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 7;REGIONAL 7;MAKASSAR;MAKASSAR;PNK;0;IN116811553;2021-04-20T10:31:22+07:00;2021-11-22T21:24:39+07:00;;;;;1;;;;;;;;;;,
95170006;nama teknisi;xxxx@email.com;88888888888;05.00;2;2;0;1;2021-04-20T13:41:10+07:00;20/04/2021;Apr-21;2021-04-20T13:41:10+07:00;60067849e2b65900133fbf10;xxxx@email.com;nama pelanggan;88888888888;131xxxxxxx;5;F3TRG068;Ramah;;;REGIONAL 3;;BANDUNG;BANDUNG;TRG;0;IN97007388;2021-04-20T13:41:10+07:00;2021-10-14T21:13:27+07:00;;;;;1;;;;;;;;;;,,,,,
95170006;nama teknisi;xxxx@email.com;88888888888;05.00;2;2;0;1;2021-10-14T21:13:27+07:00;14/10/2021;Okt-21;2021-10-14T21:13:27+07:00;611038bbf5fc148c594e1878;xxxx@email.com;nama pelanggan;88888888888;131xxxxxxx;5;F3TRG068;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 3;DATEL BANDUNG;BANDUNG;BANDUNG;TRG;0;IN112752272;2021-04-20T13:41:10+07:00;2021-10-14T21:13:27+07:00;;;;;1;;;;;;;;;;,
TAW4SMA_005;nama teknisi;xxxx@email.com;88888888888;05.00;3;3;0;2;2021-04-20T15:13:00+07:00;20/04/2021;Apr-21;2021-04-20T15:13:00+07:00;5febe8fc60aac2001aa746c4;xxxx@email.com;nama pelanggan;88888888888;141xxxxxxx;5;A4BMK002;Menyelesaikan gangguan dengan cepat;;;REGIONAL 4;REGIONAL 4;JAWA TENGAH;JAWA TENGAH;BMK;0;IN87883830;2021-04-20T15:13:00+07:00;2021-12-21T10:47:26+07:00;;1;;;;;;;;;;;;;,,,,,
TAW4SMA_005;nama teknisi;xxxx@email.com;88888888888;05.00;3;3;0;2;2021-12-07T12:09:52+07:00;07/12/2021;Des-21;2021-12-07T12:09:52+07:00;60a6d9aded9f9f6a84ec9673;xxxx@email.com;nama pelanggan;88888888888;141xxxxxxx;5;A4BMK008;Datang tepat waktu,Ramah;;;REGIONAL 4;DATEL SEMARANG;SEMARANG;SEMARANG;BMK;0;IN119268097;2021-04-20T15:13:00+07:00;2021-12-21T10:47:26+07:00;;1;;;;;;;;;;;;;,,,,
TAW4SMA_005;nama teknisi;xxxx@email.com;88888888888;05.00;3;3;0;2;2021-12-21T10:47:26+07:00;21/12/2021;Des-21;2021-12-21T10:47:26+07:00;60a6cfeaed9f9f6a84955087;xxxx@email.com;nama pelanggan;88888888888;152xxxxxxx;5;F5WRU085;Datang tepat waktu,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 5;JAWA TIMUR;JATIM SURAMADU  (SURABAYA);JATIM SURAMADU  (SURABAYA);WRU;0;IN120854447;2021-04-20T15:13:00+07:00;2021-12-21T10:47:26+07:00;;1;;;;;;;;;;;;;,,,
TAW2BOGOR_043;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;2;2021-04-20T18:27:27+07:00;20/04/2021;Apr-21;2021-04-20T18:27:27+07:00;5fd71d05fc04cc001ba8afdd;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO011;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;REGIONAL 2;BOGOR;BOGOR;BOO;0;IN97039328;2021-04-20T18:27:27+07:00;2021-05-14T14:54:34+07:00;;;;;;;;;;;3;;;;,
TAW2BOGOR_043;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;2;2021-05-03T16:10:16+07:00;03/05/2021;Mei-21;2021-05-03T16:10:16+07:00;6081291bfefe61001ad78a13;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO011;Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;REGIONAL 2;BOGOR;BOGOR;BOO;0;IN97343660;2021-04-20T18:27:27+07:00;2021-05-14T14:54:34+07:00;;;;;;;;;;;3;;;;,,,,,
TAW2BOGOR_043;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;2;2021-05-03T16:10:48+07:00;03/05/2021;Mei-21;2021-05-03T16:10:48+07:00;6081291bfefe61001ad78a13;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO011;Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;REGIONAL 2;BOGOR;BOGOR;BOO;0;IN97343660;2021-04-20T18:27:27+07:00;2021-05-14T14:54:34+07:00;;;;;;;;;;;3;;;;,,,,,
TAW2BOGOR_043;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;2;2021-05-14T14:54:25+07:00;14/05/2021;Mei-21;2021-05-14T14:54:25+07:00;60808138fefe61001ad78993;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO011;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;REGIONAL 2;BOGOR;BOGOR;BOO;0;IN99007621;2021-04-20T18:27:27+07:00;2021-05-14T14:54:34+07:00;;;;;;;;;;;3;;;;,
TAW2BOGOR_043;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;2;2021-05-14T14:54:34+07:00;14/05/2021;Mei-21;2021-05-14T14:54:34+07:00;60808138fefe61001ad78993;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO011;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;REGIONAL 2;BOGOR;BOGOR;BOO;0;IN99007621;2021-04-20T18:27:27+07:00;2021-05-14T14:54:34+07:00;;;;;;;;;;;3;;;;,
TAW2JAKSEL_054;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;1;2021-04-21T10:32:03+07:00;21/04/2021;Apr-21;2021-04-21T10:32:03+07:00;5ff6dd55f4c7490014416711;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;ASKBY055;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;REGIONAL 2;JAKARTA SELATAN;JAKARTA SELATAN;KBY;0;IN97037276;2021-04-21T10:32:03+07:00;2021-11-21T18:00:52+07:00;;;;;4;;;;;;;;;;,
TAW2JAKSEL_054;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;1;2021-04-21T10:32:52+07:00;21/04/2021;Apr-21;2021-04-21T10:32:52+07:00;5ff6dd55f4c7490014416711;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;ASKBY055;Datang tepat waktu;;;REGIONAL 2;REGIONAL 2;JAKARTA SELATAN;JAKARTA SELATAN;KBY;0;IN97037276;2021-04-21T10:32:03+07:00;2021-11-21T18:00:52+07:00;;;;;4;;;;;;;;;;,,,,,
TAW2JAKSEL_054;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;1;2021-04-21T10:33:24+07:00;21/04/2021;Apr-21;2021-04-21T10:33:24+07:00;5ff6dd55f4c7490014416711;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;ASKBY055;Datang tepat waktu;;;REGIONAL 2;REGIONAL 2;JAKARTA SELATAN;JAKARTA SELATAN;KBY;0;IN97037276;2021-04-21T10:32:03+07:00;2021-11-21T18:00:52+07:00;;;;;4;;;;;;;;;;,,,,,
TAW2JAKSEL_054;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;1;2021-04-21T10:34:52+07:00;21/04/2021;Apr-21;2021-04-21T10:34:52+07:00;60067849e2b65900133fbf10;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;ASKBY055;Ramah;;;REGIONAL 2;;JAKARTA SELATAN;JAKARTA SELATAN;KBY;0;IN97037276;2021-04-21T10:32:03+07:00;2021-11-21T18:00:52+07:00;;;;;4;;;;;;;;;;,,,,,
TAW2JAKSEL_054;nama teknisi;xxxx@email.com;88888888888;05.00;5;5;0;1;2021-11-21T18:00:52+07:00;21/11/2021;Nov-21;2021-11-21T18:00:52+07:00;60a6d84bed9f9f6a84e20977;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;ASKBY055;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;JAKARTA;JAKARTA SELATAN;JAKARTA SELATAN;KBY;0;IN117550878;2021-04-21T10:32:03+07:00;2021-11-21T18:00:52+07:00;;;;;4;;;;;;;;;;,
TAW2BOGOR_048;nama teknisi;xxxx@email.com;88888888888;5;1;1;0;;2021-04-21T10:44:46+07:00;21/04/2021;Apr-21;2021-04-21T10:44:46+07:00;60067849e2b65900133fbf10;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO049;Ramah;;;REGIONAL 2;;BOGOR;BOGOR;BOO;0;IN97037833;2021-04-21T10:44:46+07:00;2021-04-21T10:44:46+07:00;;;;;1;;;;;;;;;;,,,,,
TAW4SMA_006;nama teknisi;xxxx@email.com;88888888888;5;1;1;0;;2021-04-22T22:40:41+07:00;22/04/2021;Apr-21;2021-04-22T22:40:41+07:00;5fd71d05fc04cc001ba8afdd;xxxx@email.com;nama pelanggan;88888888888;143xxxxxxx;5;A4SSL010;Datang tepat waktu,Ramah;;;REGIONAL 4;REGIONAL 4;SEMARANG;SEMARANG;SSL;0;IN97172602;2021-04-22T22:40:41+07:00;2021-04-22T22:40:41+07:00;;;;;;;;;1;;;;;;,,,,
EKOF15883897;nama teknisi;xxxx@email.com;88888888888;05.00;3;3;0;2;2021-04-24T11:49:48+07:00;24/04/2021;Apr-21;2021-04-24T11:49:48+07:00;5fe1fb3660aac2001aa74344;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;F2PDK011;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;REGIONAL 2;JAKARTA;JAKARTA;PDK;0;IN97570033;2021-04-24T11:49:48+07:00;2021-11-27T06:58:01+07:00;;;;;;;1;;;;;;;;,
EKOF15883897;nama teknisi;xxxx@email.com;88888888888;05.00;3;3;0;2;2021-11-26T10:41:09+07:00;26/11/2021;Nov-21;2021-11-26T10:41:09+07:00;60a6d262ed9f9f6a84aadc88;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;F2PDK011;Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;DATEL JAKARTA TIMUR;JAKARTA TIMUR;JAKARTA TIMUR;PDK;0;IN118083293;2021-04-24T11:49:48+07:00;2021-11-27T06:58:01+07:00;;;;;;;1;;;;;;;;,,
EKOF15883897;nama teknisi;xxxx@email.com;88888888888;05.00;3;3;0;2;2021-11-27T06:58:01+07:00;27/11/2021;Nov-21;2021-11-27T06:58:01+07:00;60a6d262ed9f9f6a84aadc88;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;F2PDK011;Penampilan/ seragam teknisi rapi;;;REGIONAL 2;DATEL JAKARTA TIMUR;JAKARTA TIMUR;JAKARTA TIMUR;PDK;0;IN118102089;2021-04-24T11:49:48+07:00;2021-11-27T06:58:01+07:00;;;;;;;1;;;;;;;;,,,,,
TAW2BOGOR_046;nama teknisi;xxxx@email.com;88888888888;05.00;3;3;0;1;2021-04-25T11:14:12+07:00;25/04/2021;Apr-21;2021-04-25T11:14:12+07:00;5fd71d05fc04cc001ba8afdd;xxxx@email.com;nama pelanggan;88888888888;121xxxxxxx;5;A2CBI046;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;;BOGOR;BOGOR;CBI;0;IN97361739;2021-04-25T11:14:12+07:00;2021-12-23T13:21:02+07:00;;;;;1;;;;;;1;;;;,
